1,530633E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
6903,782;InputEnter;Name;pABLO
10283,38;InputEnter;Number;081
10366,67;ButtonClick;Polish
13911,48;ButtonClick;WithoutAffectiveLoop
13928,05;Scene;Load;1
13928,05;BackgroundMusic;Start
15588,26;ButtonClick;Next
16466,18;ButtonClick;Next
17244,89;ButtonClick;Next
18155,98;ButtonClick;Next
18636,42;ButtonClick;Next
19481,32;ButtonClick;Next
20458,75;ButtonClick;Play
23772,71;Player;Starting;Health;100
23772,71;Player;Starting;Range;100
23772,71;Player;Starting;TimeBetweenBullets;0,2
23772,71;Player;Starting;DamagerPerShot;15
23772,71;Player;Starting;SuperPower;100
24753,97;Alert;Lvl0Index;0
31264,3;Alert;Lvl0Index;1
37774,98;Alert;Lvl0Index;2
37774,98;Scene;Load;2
44287,96;Alert;Lvl0Index;3
50798,75;Alert;Lvl0Index;4
57309,36;Alert;Lvl0Index;5
63820,07;Alert;Lvl0Index;6
70331,66;Alert;Lvl0Index;7
76842,4;Alert;Lvl0Index;8
83353,5;Alert;Lvl0Index;9
85930,66;Enemy;DeathBy;Gun
86445,05;TextScore;ChangeTo;KIEPSKO
89869,09;Alert;Lvl0Index;10
96383,55;Alert;Lvl0Index;11
102039,3;Enemy;DeathBy;Gun
102552,6;TextScore;ChangeTo;PRZYZWOICIE
102884,9;Alert;Lvl0Index;12
109393,3;Alert;Lvl0Index;13
111034,4;Enemy;DeathBy;Gun
111547,6;TextScore;ChangeTo;WSPANIALE
115909;Alert;Lvl0Index;14
122418,9;Alert;Lvl0Index;15
128926,2;Alert;Lvl0Index;16
138289,3;Enemy;DeathBy;Gun
138802,9;TextScore;ChangeTo;FANTASTYCZNIE
142367,9;Enemy;DeathBy;Gun
145905,4;Scene;Load;3
157074,5;ButtonClick;Next
158979,7;ButtonClick;Next
159791,6;ButtonClick;Next
160752,3;ButtonClick;Next
162857,4;ButtonClick;Play
166170,8;Player;Starting;Range;100
166170,8;Player;Starting;TimeBetweenBullets;0,2
166170,8;Player;Starting;DamagerPerShot;15
166170,8;Player;Starting;SuperPower;100
166170,8;Player;Starting;Health;100
166170,8;Scene;Load;4
176141,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
181145,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
186152,3;Enemy;0;RegularSpawn;AtSpawnPoint;0
186831,5;Enemy;DeathBy;Gun
190708,1;Enemy;DeathBy;Gun
194342,9;Enemy;DeathBy;Gun
196142,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
201148,2;Enemy;0;RegularSpawn;AtSpawnPoint;0
205060,9;Enemy;DeathBy;Gun
206154,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
208492,3;Enemy;DeathBy;Gun
211479,2;Enemy;DeathBy;Gun
216149,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
218717,5;Enemy;DeathBy;Gun
221148,5;Enemy;0;RegularSpawn;AtSpawnPoint;2
221182,4;Alert;NonAffectiveSpawn;Activation
226149,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
233153,1;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
234610,9;Enemy;DeathBy;Gun
236151,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
236764,6;Enemy;DeathBy;Gun
239337,5;Enemy;DeathBy;Gun
239851,1;TextScore;ChangeTo;KIEPSKO
240149,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
241143,7;Enemy;0;RegularSpawn;AtSpawnPoint;0
244016,7;Enemy;DeathBy;Gun
244662,9;Enemy;DeathBy;Gun
246153,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
247147,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
247247,2;Enemy;DeathBy;Gun
254152,6;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;2
256144;Enemy;0;RegularSpawn;AtSpawnPoint;1
256177;Alert;Enemy;SpeedChange
256177;Enemy;Speed;ChangeTo;3,03
256193,8;Enemy;DeathBy;Gun
258181,3;Enemy;Speed;ChangeTo;3,06
260197,1;Enemy;Speed;ChangeTo;3,09
260661,2;Player;Health;DecreaseTo;90
260678;Enemy;DeathBy;Gun
261141,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
261141,4;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
262199,9;Enemy;Speed;ChangeTo;3,12
264201,8;Enemy;Speed;ChangeTo;3,15
