1,531064E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
14594,87;ButtonClick;Polish
23311,02;InputEnter;Name;armin
28081,99;InputEnter;Number;7890
28181,72;ButtonClick;WithoutAffectiveLoop
28197,95;Scene;Load;1
33154,79;KeyPress;U
33171,78;Scene;Load;3
34914,71;KeyPress;U
34931,43;Scene;Load;5
37733,72;KeyPress;T
41344,7;Player;Starting;Range;100
41344,7;Player;Starting;TimeBetweenBullets;0,2
41344,7;Player;Starting;DamagerPerShot;15
41344,7;Player;Starting;SuperPower;100
41344,7;Player;Starting;Health;140
41344,7;Scene;Load;6
51027,41;Enemy;0;RegularSpawn;AtSpawnPoint;2
56032,02;Enemy;0;RegularSpawn;AtSpawnPoint;0
61029,05;Enemy;0;RegularSpawn;AtSpawnPoint;2
62105,11;Enemy;DeathBy;Gun
64026,93;Enemy;0;RegularSpawn;AtSpawnPoint;0
65120,24;Player;Health;DecreaseTo;120
66031,41;Player;Health;DecreaseTo;100
66031,41;Slider;Health;DecreaseTo;112
66942,88;Player;Health;DecreaseTo;80
66942,88;Slider;Health;DecreaseTo;84
67025,64;Enemy;0;RegularSpawn;AtSpawnPoint;1
67853,9;Player;Health;DecreaseTo;60
68764,98;Player;Health;DecreaseTo;40
68764,98;Slider;Health;DecreaseTo;56
69167,23;Player;Health;DecreaseTo;20
69167,23;Slider;Health;DecreaseTo;28
69681,12;Player;Health;DecreaseTo;0
69681,12;Player;Death
73474,56;KeyPress;B
73492,83;ScoreBoard;Show
83001,8;KeyPress;R
