1,530557E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
11768,37;InputEnter;Name;Jokohama
15363,33;InputEnter;Number;14
15446,17;ButtonClick;Polish
16639,02;ButtonClick;WithoutAffectiveLoop
16663,83;Scene;Load;1
16663,83;BackgroundMusic;Start
23078,77;ButtonClick;Next
26806;ButtonClick;Next
35321,29;ButtonClick;Next
37110,43;ButtonClick;Previous
38667,88;ButtonClick;Next
58416,33;ButtonClick;Next
71573,52;ButtonClick;Next
77360,64;ButtonClick;Next
81817,25;ButtonClick;Play
85447,17;Player;Starting;Health;100
85447,17;Player;Starting;Range;100
85447,17;Player;Starting;TimeBetweenBullets;0,2
85447,17;Player;Starting;DamagerPerShot;15
85447,17;Player;Starting;SuperPower;100
85781,86;Alert;Lvl0Index;0
92309,12;Alert;Lvl0Index;1
98819,83;Alert;Lvl0Index;2
98819,83;Scene;Load;2
105332,5;Alert;Lvl0Index;3
111843,2;Alert;Lvl0Index;4
118354,1;Alert;Lvl0Index;5
124864,7;Alert;Lvl0Index;6
131375,3;Alert;Lvl0Index;7
137886;Alert;Lvl0Index;8
144396,7;Alert;Lvl0Index;9
150907,9;Alert;Lvl0Index;10
157418,1;Alert;Lvl0Index;11
163933,3;Alert;Lvl0Index;12
170443,5;Alert;Lvl0Index;13
176958,5;Alert;Lvl0Index;14
183456;Alert;Lvl0Index;15
185228,4;Enemy;DeathBy;Gun
185743,1;TextScore;ChangeTo;KIEPSKO
188027,7;Enemy;DeathBy;Gun
188541,3;TextScore;ChangeTo;PRZYZWOICIE
189105,2;Enemy;DeathBy;Gun
189618,2;TextScore;ChangeTo;WSPANIALE
189985,5;Alert;Lvl0Index;16
192735,5;Enemy;DeathBy;Gun
193249,3;TextScore;ChangeTo;FANTASTYCZNIE
200337,5;Enemy;DeathBy;Gun
203877,2;Scene;Load;3
209761,7;ButtonClick;Next
217829,7;ButtonClick;Next
223387;ButtonClick;Next
227313,3;ButtonClick;Next
247505,7;ButtonClick;Play
250818,5;Player;Starting;Range;100
250818,5;Player;Starting;TimeBetweenBullets;0,2
250818,5;Player;Starting;DamagerPerShot;15
250818,5;Player;Starting;SuperPower;100
250818,5;Player;Starting;Health;100
250818,5;Scene;Load;4
260811,6;Enemy;0;RegularSpawn;AtSpawnPoint;2
265815,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
266527,4;Enemy;DeathBy;Gun
270619,5;Enemy;DeathBy;Gun
270801,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
273620,1;Enemy;DeathBy;Gun
280809,8;Enemy;0;RegularSpawn;AtSpawnPoint;1
284839,7;Enemy;DeathBy;Gun
285801;Enemy;0;RegularSpawn;AtSpawnPoint;2
290803,5;Enemy;0;RegularSpawn;AtSpawnPoint;0
300812,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
302700,9;Enemy;DeathBy;Gun
305800,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
305834,3;Alert;NonAffectiveSpawn;Activation
306562,6;Enemy;DeathBy;Gun
310008,4;Enemy;DeathBy;Gun
310803,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
312592,8;Enemy;DeathBy;Gun
316900,9;Enemy;DeathBy;Gun
317413,7;TextScore;ChangeTo;KIEPSKO
317811,3;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
320561,4;Enemy;DeathBy;Gun
320810;Enemy;0;RegularSpawn;AtSpawnPoint;2
324806;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
325816,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
330814,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
330880;Enemy;DeathBy;Gun
331808;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
337125,7;Enemy;DeathBy;Gun
338815,5;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;3
339494,8;Enemy;DeathBy;Gun
340803,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
340820;Alert;Enemy;SpeedChange
340820;Enemy;Speed;ChangeTo;3,03
342824,6;Enemy;Speed;ChangeTo;3,06
344017,4;Enemy;DeathBy;Gun
344829,4;Enemy;Speed;ChangeTo;3,09
345807,3;Enemy;0;RegularSpawn;AtSpawnPoint;1
345807,3;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
346602,4;Enemy;DeathBy;Gun
346833,8;Enemy;Speed;ChangeTo;3,12
348838,4;Enemy;Speed;ChangeTo;3,15
349832,3;Enemy;DeathBy;Gun
350809,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
350842,9;Enemy;Speed;ChangeTo;3,18
352416,7;Enemy;DeathBy;Gun
352814,5;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
352847,8;Enemy;Speed;ChangeTo;3,21
352930,3;TextScore;ChangeTo;PRZYZWOICIE
354852;Enemy;Speed;ChangeTo;3,24
356856,7;Enemy;Speed;ChangeTo;3,27
358447;Enemy;DeathBy;Gun
358861,7;Enemy;Speed;ChangeTo;3,3
359805,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
360816;Enemy;0;RegularSpawn;AtSpawnPoint;1
360865,7;Enemy;Speed;ChangeTo;3,33
361031,4;Enemy;DeathBy;Gun
362871;Enemy;Speed;ChangeTo;3,36
363185,1;Enemy;DeathBy;Gun
364874,8;Enemy;Speed;ChangeTo;3,39
365802,6;Enemy;0;RegularSpawn;AtSpawnPoint;1
365819,3;Alert;NonAffectiveSpawn;Activation
366813,2;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;4
366879,4;Enemy;Speed;ChangeTo;3,42
368569,3;Enemy;DeathBy;Gun
368884;Enemy;Speed;ChangeTo;3,45
370806;Enemy;0;RegularSpawn;AtSpawnPoint;1
370888,9;Enemy;Speed;ChangeTo;3,48
371336,1;Player;Health;DecreaseTo;90
371369;Enemy;DeathBy;Gun
372893,1;Enemy;Speed;ChangeTo;3,51
373522,7;Enemy;DeathBy;Gun
373804,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;0
373804,8;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
374897,9;Enemy;Speed;ChangeTo;3,539999
376909,8;Enemy;Speed;ChangeTo;3,569999
377390,4;Enemy;DeathBy;Gun
378467,2;Enemy;DeathBy;Gun
378914,3;Enemy;Speed;ChangeTo;3,599999
378980,6;TextScore;ChangeTo;WSPANIALE
380802,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
380802,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;4
380802,9;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;2
380823,6;Enemy;DeathBy;Gun
380923;Enemy;Speed;ChangeTo;3,629999
382927,5;Enemy;Speed;ChangeTo;3,659999
383192,9;Enemy;DeathBy;Gun
384932,1;Enemy;Speed;ChangeTo;3,689999
385777;Enemy;DeathBy;Gun
385811,1;Enemy;0;RegularSpawn;AtSpawnPoint;1
386945,6;Enemy;Speed;ChangeTo;3,719999
387807,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
387807,8;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
388556,8;Enemy;DeathBy;Gun
388954,6;Enemy;Speed;ChangeTo;3,749999
390810;Enemy;0;RegularSpawn;AtSpawnPoint;0
390959,3;Enemy;Speed;ChangeTo;3,779999
391340;Player;Health;IncreaseTo;100
392648,8;Enemy;DeathBy;Gun
392963,5;Enemy;Speed;ChangeTo;3,809999
394371,7;Enemy;DeathBy;Gun
394802,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;4
394802,4;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
394968,7;Enemy;Speed;ChangeTo;3,839999
396978,7;Enemy;Speed;ChangeTo;3,869999
397177,5;Enemy;DeathBy;Gun
398983,3;Enemy;Speed;ChangeTo;3,899999
400806,1;Enemy;0;RegularSpawn;AtSpawnPoint;2
400988,3;Enemy;Speed;ChangeTo;3,929999
401485,5;Enemy;DeathBy;Gun
401800,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;1
401800,1;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;5
401998,8;TextScore;ChangeTo;FANTASTYCZNIE
402992,9;Enemy;Speed;ChangeTo;3,959999
404995,3;Enemy;Speed;ChangeTo;3,989999
405806,9;Enemy;0;RegularSpawn;AtSpawnPoint;2
407001,6;Enemy;Speed;ChangeTo;4,019999
408475,5;Enemy;DeathBy;Gun
408810,5;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;0
408810,5;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;2
409002,4;Enemy;Speed;ChangeTo;4,049999
409718,2;Enemy;DeathBy;Gun
410785,2;Enemy;DeathBy;Gun
410801,7;Enemy;0;RegularSpawn;AtSpawnPoint;2
411018,2;Enemy;Speed;ChangeTo;4,079999
412328,8;Player;Health;DecreaseTo;90
413023,8;Enemy;Speed;ChangeTo;4,11
414187,3;Enemy;DeathBy;Gun
415035;Enemy;Speed;ChangeTo;4,14
415813,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;0
415813,3;Enemy;0;NonAffectiveSpawn;AtSpawnPoint;5
417039,5;Enemy;Speed;ChangeTo;4,17
419044,4;Enemy;Speed;ChangeTo;4,2
419983,3;Enemy;DeathBy;Gun
420813,3;Enemy;0;RegularSpawn;AtSpawnPoint;2
421045,3;Enemy;Speed;ChangeTo;4,23
