1,530631E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
5733,263;InputEnter;Name;abażur
8914,116;InputEnter;Number;079
8996,458;ButtonClick;Polish
11199,82;ButtonClick;WithoutAffectiveLoop
11216,98;Scene;Load;1
11216,98;BackgroundMusic;Start
12578,56;ButtonClick;Next
12744,86;ButtonClick;Next
13059,33;ButtonClick;Next
13903,97;ButtonClick;Next
15527,43;ButtonClick;Next
15892,09;ButtonClick;Next
17051,62;ButtonClick;Play
20364,9;Player;Starting;Health;100
20364,9;Player;Starting;Range;100
20364,9;Player;Starting;TimeBetweenBullets;0,2
20364,9;Player;Starting;DamagerPerShot;15
20364,9;Player;Starting;SuperPower;100
21345,68;Alert;Lvl0Index;0
27856,38;Alert;Lvl0Index;1
34367,12;Alert;Lvl0Index;2
34367,12;Scene;Load;2
40880,11;Alert;Lvl0Index;3
47391,05;Alert;Lvl0Index;4
53903,09;Alert;Lvl0Index;5
60413,79;Alert;Lvl0Index;6
66924,06;Alert;Lvl0Index;7
73425,03;Alert;Lvl0Index;8
79935,7;Alert;Lvl0Index;9
82139,16;Enemy;DeathBy;Gun
82652,63;TextScore;ChangeTo;KIEPSKO
86446,45;Alert;Lvl0Index;10
90096,74;Enemy;DeathBy;Gun
90610,36;TextScore;ChangeTo;PRZYZWOICIE
92962,77;Alert;Lvl0Index;11
94619,44;Enemy;DeathBy;Gun
95133,3;TextScore;ChangeTo;WSPANIALE
99473,47;Alert;Lvl0Index;12
99606,28;Enemy;DeathBy;Gun
100121,2;TextScore;ChangeTo;FANTASTYCZNIE
104229,7;Enemy;DeathBy;Gun
105985,8;Alert;Lvl0Index;13
112496,7;Alert;Lvl0Index;14
119012,5;Alert;Lvl0Index;15
125523,6;Alert;Lvl0Index;16
135388,8;Scene;Load;3
136816,9;KeyPress;T
140130,6;Player;Starting;Range;100
140130,6;Player;Starting;TimeBetweenBullets;0,2
140130,6;Player;Starting;DamagerPerShot;15
140130,6;Player;Starting;SuperPower;100
140130,6;Player;Starting;Health;100
140130,6;Scene;Load;4
150115,2;Enemy;0;RegularSpawn;AtSpawnPoint;1
154571,8;Enemy;DeathBy;Gun
155101,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
160115,9;Enemy;0;RegularSpawn;AtSpawnPoint;1
165637,2;Enemy;DeathBy;Gun
170113,7;Enemy;0;RegularSpawn;AtSpawnPoint;1
172333,2;Enemy;DeathBy;Gun
175103,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
177272,9;Enemy;DeathBy;Gun
180113,8;Enemy;0;RegularSpawn;AtSpawnPoint;2
181936,3;Enemy;DeathBy;Gun
185771,6;Enemy;DeathBy;Gun
190106,5;Enemy;0;RegularSpawn;AtSpawnPoint;1
192517,6;Enemy;DeathBy;Gun
195106,2;Enemy;0;RegularSpawn;AtSpawnPoint;2
195146,5;Alert;NonAffectiveSpawn;Activation
200101,6;Enemy;0;RegularSpawn;AtSpawnPoint;0
203323,9;Enemy;DeathBy;Gun
207106,2;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
207553,5;Enemy;DeathBy;Gun
208067,6;TextScore;ChangeTo;KIEPSKO
209241,3;Enemy;DeathBy;Gun
210103;Enemy;0;RegularSpawn;AtSpawnPoint;2
214105,7;Enemy;2;NonAffectiveSpawn;AtSpawnPoint;1
215110,4;Enemy;0;RegularSpawn;AtSpawnPoint;2
217366;Enemy;DeathBy;Gun
220100,4;Enemy;0;RegularSpawn;AtSpawnPoint;0
221111;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;1
221193,8;Enemy;DeathBy;Gun
223969,7;Enemy;DeathBy;Gun
227360,1;Enemy;DeathBy;Gun
228104,1;Enemy;1;NonAffectiveSpawn;AtSpawnPoint;4
230110,1;Enemy;DeathBy;Gun
230110,1;Enemy;0;RegularSpawn;AtSpawnPoint;0
