1,530804E+15;UnixTime
0;Scene;Load;0
0;BITalino;SamplingFrequency;1000
0;BITalino;BufferSize;2000
0;BITalino;Channels;ECG;EMG;EDA;
0;BITalino;Analogs;A1;A2;A3;
0;BITalino;BaudRate;9600
0;BITalino;Port;COM3
0;BITalino;Parity;None
0;BITalino;DataBits;8
0;BITalino;StopBits;One
4342,969;InputEnter;Name;x
7225,252;InputEnter;Number;111
7324,669;ButtonClick;Polish
8468,439;ButtonClick;WithoutAffectiveLoop
8484,761;Scene;Load;1
9498,074;KeyPress;T
12811,41;Player;Starting;Health;100
12811,41;Player;Starting;Range;100
12811,41;Player;Starting;TimeBetweenBullets;0,2
12811,41;Player;Starting;DamagerPerShot;15
12811,41;Player;Starting;SuperPower;100
13789,58;Alert;Lvl0Index;0
20293,86;Alert;Lvl0Index;1
26797,67;Alert;Lvl0Index;2
26797,67;Scene;Load;2
