1566489748694;UnixTime
0;Game;Introduction;CountDown;Text;ChangeTo;30s
0;Scene;Load;ID;0
0;UserName;Zawodnik1234
0;UserID;1234
1002,331;Game;Introduction;CountDown;Text;ChangeTo;Gra rozpocznie się za: 29s
1052,325;Key;S
1385,658;Player;Health;StartingValue;100
1385,658;Slider;Health;StartingValue;100
1385,658;Player;Range;StartingValue;100
1385,658;Player;TimeBetweenTwoBullets;StartingValue;0,2
1385,658;Player;DamagePerShot;StartingValue;15
1385,658;Player;SuperPower;StartingValue;100
1385,658;Slider;SuperPower;StartingValue;100
1719,304;Alert;Show;Time;5;Content;Cześć, to znowu my!Wyjaśnimy Ci kilka kwestii.
7228,868;Alert;Show;Time;5;Content;Ten element wskazuje Twoje życie.
12764,52;Alert;Show;Time;5;Content;Ten pokaże Ci Twój wynik.
12764,52;Scene;Load;ID;2
18246,29;Alert;Show;Time;5;Content;A tutaj widzisz SuperMoc.Ale o tym będzie później.
23769,09;Alert;Show;Time;5;Content;Odblokowujemy możliwość poruszania się.Użyj joysticków kontrolera!
23780;Joystick;Left;Horizontal;0;Vertical;0
23780;Joystick;Right;Horizontal;0;Vertical;0
23800;Joystick;Left;Horizontal;0;Vertical;0
23800;Joystick;Right;Horizontal;0;Vertical;0
23820;Joystick;Left;Horizontal;0;Vertical;0
23820;Joystick;Right;Horizontal;0;Vertical;0
23840;Joystick;Left;Horizontal;0;Vertical;0
23840;Joystick;Right;Horizontal;0;Vertical;0
23860;Joystick;Left;Horizontal;0;Vertical;0
23860;Joystick;Right;Horizontal;0;Vertical;0
23880;Joystick;Left;Horizontal;0;Vertical;0
23880;Joystick;Right;Horizontal;0;Vertical;0
23900;Joystick;Left;Horizontal;0;Vertical;0
23900;Joystick;Right;Horizontal;0;Vertical;0
23920;Joystick;Left;Horizontal;0;Vertical;0
23920;Joystick;Right;Horizontal;0;Vertical;0
23940;Joystick;Left;Horizontal;0;Vertical;0
23940;Joystick;Right;Horizontal;0;Vertical;0
23960;Joystick;Left;Horizontal;0;Vertical;0
23960;Joystick;Right;Horizontal;0;Vertical;0
23980;Joystick;Left;Horizontal;0;Vertical;0
23980;Joystick;Right;Horizontal;0;Vertical;0
24000;Joystick;Left;Horizontal;0;Vertical;0
24000;Joystick;Right;Horizontal;0;Vertical;0
24020;Joystick;Left;Horizontal;0;Vertical;0
24020;Joystick;Right;Horizontal;0;Vertical;0
24040;Joystick;Left;Horizontal;0;Vertical;0
24040;Joystick;Right;Horizontal;0;Vertical;0
24060;Joystick;Left;Horizontal;0;Vertical;0
24060;Joystick;Right;Horizontal;0;Vertical;0
24080;Joystick;Left;Horizontal;0;Vertical;0
24080;Joystick;Right;Horizontal;0;Vertical;0
24100;Joystick;Left;Horizontal;0;Vertical;0
24100;Joystick;Right;Horizontal;0;Vertical;0
24120;Joystick;Left;Horizontal;0;Vertical;0
24120;Joystick;Right;Horizontal;0;Vertical;0
24140;Joystick;Left;Horizontal;0;Vertical;0
24140;Joystick;Right;Horizontal;0;Vertical;0
24160;Joystick;Left;Horizontal;0;Vertical;0
24160;Joystick;Right;Horizontal;0;Vertical;0
