time;ecg;eda;ecg_p;
0;364;203;-0,003748521;
1;380;203;-0,003343276;
2;396;203;-0,00293803;
3;413;203;-0,002507457;
4;432;203;-0,002026228;
5;450;203;-0,001570326;
6;468;202;-0,001114425;
7;484;203;-0,0007091797;
8;498;203;-0,0003545898;
9;512;203;0;
10;523;203;0,0002786063;
11;533;202;0,0005318847;
12;543;203;0,0007851632;
13;548;203;0,0009118024;
14;550;203;0,0009624581;
15;549;203;0,0009371302;
16;548;203;0,0009118024;
17;547;203;0,0008864746;
18;547;203;0,0008864746;
19;547;203;0,0008864746;
20;546;203;0,0008611467;
21;547;203;0,0008864746;
22;547;203;0,0008864746;
23;545;203;0,0008358189;
24;542;204;0,0007598354;
25;536;203;0,0006078683;
26;530;203;0,0004559012;
27;525;203;0,000329262;
28;519;203;0,0001772949;
29;516;203;0,0001013114;
30;514;203;5,065569E-05;
31;513;203;2,532784E-05;
32;513;203;2,532784E-05;
33;513;203;2,532784E-05;
34;514;204;5,065569E-05;
35;514;204;5,065569E-05;
36;516;203;0,0001013114;
37;518;203;0,0001519671;
38;520;204;0,0002026228;
39;523;204;0,0002786063;
40;525;204;0,000329262;
41;528;203;0,0004052455;
42;532;203;0,0005065569;
43;536;203;0,0006078683;
44;540;203;0,0007091797;
45;543;203;0,0007851632;
46;546;203;0,0008611467;
47;548;202;0,0009118024;
48;550;203;0,0009624581;
49;553;203;0,001038442;
50;554;203;0,001063769;
51;555;203;0,001089097;
52;555;203;0,001089097;
53;555;203;0,001089097;
54;555;204;0,001089097;
55;555;203;0,001089097;
56;553;204;0,001038442;
57;553;203;0,001038442;
58;552;203;0,001013114;
59;552;203;0,001013114;
60;551;204;0,000987786;
61;551;204;0,000987786;
62;550;204;0,0009624581;
63;550;204;0,0009624581;
64;550;203;0,0009624581;
65;550;203;0,0009624581;
66;551;203;0,000987786;
67;551;203;0,000987786;
68;551;203;0,000987786;
69;551;203;0,000987786;
70;551;202;0,000987786;
71;551;203;0,000987786;
72;551;203;0,000987786;
73;550;204;0,0009624581;
74;549;204;0,0009371302;
75;547;203;0,0008864746;
76;547;203;0,0008864746;
77;545;203;0,0008358189;
78;545;204;0,0008358189;
79;544;204;0,000810491;
80;543;204;0,0007851632;
81;542;204;0,0007598354;
82;541;203;0,0007345075;
83;541;203;0,0007345075;
84;540;203;0,0007091797;
85;540;203;0,0007091797;
86;540;203;0,0007091797;
87;540;204;0,0007091797;
88;540;203;0,0007091797;
89;541;203;0,0007345075;
90;542;203;0,0007598354;
91;542;203;0,0007598354;
92;542;204;0,0007598354;
93;541;203;0,0007345075;
94;540;203;0,0007091797;
95;539;203;0,0006838518;
96;539;203;0,0006838518;
97;539;203;0,0006838518;
98;539;204;0,0006838518;
99;538;204;0,000658524;
100;536;204;0,0006078683;
101;536;203;0,0006078683;
102;536;203;0,0006078683;
103;535;203;0,0005825404;
104;536;203;0,0006078683;
105;534;204;0,0005572126;
106;534;204;0,0005572126;
107;532;203;0,0005065569;
108;532;203;0,0005065569;
109;531;203;0,000481229;
110;531;203;0,000481229;
111;531;203;0,000481229;
112;530;204;0,0004559012;
113;529;203;0,0004305734;
114;528;203;0,0004052455;
115;527;203;0,0003799177;
116;527;203;0,0003799177;
117;527;204;0,0003799177;
118;528;204;0,0004052455;
119;529;204;0,0004305734;
120;530;203;0,0004559012;
121;532;203;0,0005065569;
122;532;203;0,0005065569;
123;532;204;0,0005065569;
124;533;204;0,0005318847;
125;533;204;0,0005318847;
126;533;204;0,0005318847;
127;531;203;0,000481229;
128;531;203;0,000481229;
129;530;203;0,0004559012;
130;528;203;0,0004052455;
131;528;204;0,0004052455;
132;527;204;0,0003799177;
133;527;204;0,0003799177;
134;526;203;0,0003545898;
135;526;203;0,0003545898;
136;525;203;0,000329262;
137;524;204;0,0003039342;
138;524;204;0,0003039342;
139;524;204;0,0003039342;
140;523;203;0,0002786063;
141;523;203;0,0002786063;
142;523;203;0,0002786063;
143;523;204;0,0002786063;
144;523;204;0,0002786063;
145;522;204;0,0002532784;
146;523;203;0,0002786063;
147;523;203;0,0002786063;
148;521;203;0,0002279506;
149;521;204;0,0002279506;
150;520;204;0,0002026228;
151;519;203;0,0001772949;
152;519;203;0,0001772949;
153;518;203;0,0001519671;
154;518;204;0,0001519671;
155;517;204;0,0001266392;
156;516;204;0,0001013114;
157;514;203;5,065569E-05;
158;513;203;2,532784E-05;
159;512;204;0;
160;512;204;0;
161;511;204;-2,532784E-05;
162;510;203;-5,065569E-05;
163;509;203;-7,598354E-05;
164;510;204;-5,065569E-05;
165;509;204;-7,598354E-05;
166;509;204;-7,598354E-05;
167;509;204;-7,598354E-05;
168;510;203;-5,065569E-05;
169;510;203;-5,065569E-05;
170;510;203;-5,065569E-05;
171;509;204;-7,598354E-05;
172;509;204;-7,598354E-05;
173;509;204;-7,598354E-05;
174;509;204;-7,598354E-05;
175;507;203;-0,0001266392;
176;506;203;-0,0001519671;
177;505;204;-0,0001772949;
178;505;204;-0,0001772949;
179;504;204;-0,0002026228;
180;503;203;-0,0002279506;
181;503;203;-0,0002279506;
182;503;203;-0,0002279506;
183;503;204;-0,0002279506;
184;502;204;-0,0002532784;
185;502;204;-0,0002532784;
186;502;204;-0,0002532784;
187;501;203;-0,0002786063;
188;501;203;-0,0002786063;
189;501;203;-0,0002786063;
190;500;204;-0,0003039342;
191;501;204;-0,0002786063;
192;500;204;-0,0003039342;
193;499;203;-0,000329262;
194;498;203;-0,0003545898;
195;497;203;-0,0003799177;
196;496;204;-0,0004052455;
197;496;204;-0,0004052455;
198;496;204;-0,0004052455;
199;496;204;-0,0004052455;
200;495;203;-0,0004305734;
201;495;204;-0,0004305734;
202;495;204;-0,0004305734;
203;495;204;-0,0004305734;
204;495;204;-0,0004305734;
205;494;203;-0,0004559012;
206;495;203;-0,0004305734;
207;495;203;-0,0004305734;
208;495;204;-0,0004305734;
209;495;204;-0,0004305734;
210;495;204;-0,0004305734;
211;495;203;-0,0004305734;
212;494;203;-0,0004559012;
213;494;203;-0,0004559012;
214;493;204;-0,000481229;
215;493;204;-0,000481229;
216;492;204;-0,0005065569;
217;492;203;-0,0005065569;
218;492;203;-0,0005065569;
219;492;204;-0,0005065569;
220;491;204;-0,0005318847;
221;491;204;-0,0005318847;
222;491;204;-0,0005318847;
223;491;203;-0,0005318847;
224;491;203;-0,0005318847;
225;492;204;-0,0005065569;
226;493;204;-0,000481229;
227;493;204;-0,000481229;
228;494;204;-0,0004559012;
229;494;203;-0,0004559012;
230;495;203;-0,0004305734;
231;496;203;-0,0004052455;
232;496;204;-0,0004052455;
233;497;204;-0,0003799177;
234;498;204;-0,0003545898;
235;499;203;-0,000329262;
236;500;203;-0,0003039342;
237;500;203;-0,0003039342;
238;501;204;-0,0002786063;
239;503;204;-0,0002279506;
240;503;204;-0,0002279506;
241;504;204;-0,0002026228;
242;505;203;-0,0001772949;
243;507;203;-0,0001266392;
244;508;203;-0,0001013114;
245;509;204;-7,598354E-05;
246;511;204;-2,532784E-05;
247;511;204;-2,532784E-05;
248;512;203;0;
249;513;203;2,532784E-05;
250;515;203;7,598354E-05;
251;517;204;0,0001266392;
252;518;204;0,0001519671;
253;519;203;0,0001772949;
254;520;203;0,0002026228;
255;521;203;0,0002279506;
256;523;203;0,0002786063;
257;524;204;0,0003039342;
258;525;204;0,000329262;
259;527;204;0,0003799177;
260;527;204;0,0003799177;
261;529;203;0,0004305734;
262;529;203;0,0004305734;
263;530;203;0,0004559012;
264;531;204;0,000481229;
265;533;204;0,0005318847;
266;535;203;0,0005825404;
267;536;203;0,0006078683;
268;537;203;0,0006331961;
269;538;203;0,000658524;
270;538;203;0,000658524;
271;540;204;0,0007091797;
272;541;203;0,0007345075;
273;542;203;0,0007598354;
274;543;203;0,0007851632;
275;543;204;0,0007851632;
276;543;204;0,0007851632;
277;543;204;0,0007851632;
278;543;204;0,0007851632;
279;543;203;0,0007851632;
280;543;203;0,0007851632;
281;543;203;0,0007851632;
282;542;204;0,0007598354;
283;542;204;0,0007598354;
284;542;204;0,0007598354;
285;541;203;0,0007345075;
286;541;203;0,0007345075;
287;540;203;0,0007091797;
288;538;204;0,000658524;
289;538;204;0,000658524;
290;537;204;0,0006331961;
291;536;203;0,0006078683;
292;536;203;0,0006078683;
293;536;203;0,0006078683;
294;535;204;0,0005825404;
295;534;204;0,0005572126;
296;534;204;0,0005572126;
297;534;204;0,0005572126;
298;534;203;0,0005572126;
299;535;204;0,0005825404;
300;534;204;0,0005572126;
301;535;204;0,0005825404;
302;534;204;0,0005572126;
303;533;204;0,0005318847;
304;533;203;0,0005318847;
305;533;203;0,0005318847;
306;533;204;0,0005318847;
307;532;204;0,0005065569;
308;531;204;0,000481229;
309;531;204;0,000481229;
310;529;203;0,0004305734;
311;528;203;0,0004052455;
312;527;204;0,0003799177;
313;527;204;0,0003799177;
314;526;204;0,0003545898;
315;525;204;0,000329262;
316;524;203;0,0003039342;
317;523;204;0,0002786063;
318;522;204;0,0002532784;
319;522;204;0,0002532784;
320;522;204;0,0002532784;
321;522;204;0,0002532784;
322;523;203;0,0002786063;
323;523;204;0,0002786063;
324;523;204;0,0002786063;
325;523;204;0,0002786063;
326;523;204;0,0002786063;
327;523;203;0,0002786063;
328;523;203;0,0002786063;
329;524;204;0,0003039342;
330;524;204;0,0003039342;
331;524;204;0,0003039342;
332;524;203;0,0003039342;
333;524;203;0,0003039342;
334;525;204;0,000329262;
