time;ecg;eda;ecg_p;
0;492;409;-0,0005065569;
1;489;409;-0,0005825404;
2;487;409;-0,0006331961;
3;486;409;-0,000658524;
4;485;409;-0,0006838518;
5;484;409;-0,0007091797;
6;485;409;-0,0006838518;
7;487;409;-0,0006331961;
8;488;409;-0,0006078683;
9;491;409;-0,0005318847;
10;491;409;-0,0005318847;
11;490;409;-0,0005572126;
12;490;409;-0,0005572126;
13;486;409;-0,000658524;
14;483;409;-0,0007345075;
15;480;409;-0,000810491;
16;481;409;-0,0007851632;
17;480;409;-0,000810491;
18;481;408;-0,0007851632;
19;485;409;-0,0006838518;
20;485;408;-0,0006838518;
21;483;409;-0,0007345075;
22;480;409;-0,000810491;
23;476;409;-0,0009118024;
24;473;409;-0,000987786;
25;468;409;-0,001114425;
26;467;409;-0,001139753;
27;471;409;-0,001038442;
28;475;409;-0,0009371302;
29;482;409;-0,0007598354;
30;487;409;-0,0006331961;
31;492;409;-0,0005065569;
32;496;409;-0,0004052455;
33;498;409;-0,0003545898;
34;500;409;-0,0003039342;
35;502;409;-0,0002532784;
36;503;409;-0,0002279506;
37;503;408;-0,0002279506;
38;502;408;-0,0002532784;
39;503;409;-0,0002279506;
40;503;409;-0,0002279506;
41;502;409;-0,0002532784;
42;499;409;-0,000329262;
43;494;408;-0,0004559012;
44;494;409;-0,0004559012;
45;493;409;-0,000481229;
46;491;409;-0,0005318847;
47;486;409;-0,000658524;
48;478;409;-0,0008611467;
49;474;409;-0,0009624581;
50;468;409;-0,001114425;
51;464;409;-0,001215737;
52;463;409;-0,001241064;
53;463;408;-0,001241064;
54;465;409;-0,001190409;
55;466;408;-0,001165081;
56;468;408;-0,001114425;
57;471;408;-0,001038442;
58;475;408;-0,0009371302;
59;476;408;-0,0009118024;
60;476;408;-0,0009118024;
61;477;408;-0,0008864746;
62;478;408;-0,0008611467;
63;478;408;-0,0008611467;
64;476;408;-0,0009118024;
65;475;408;-0,0009371302;
66;475;408;-0,0009371302;
67;476;409;-0,0009118024;
68;479;409;-0,0008358189;
69;486;409;-0,000658524;
70;492;408;-0,0005065569;
71;497;409;-0,0003799177;
72;500;408;-0,0003039342;
73;500;408;-0,0003039342;
74;500;408;-0,0003039342;
75;499;408;-0,000329262;
76;496;408;-0,0004052455;
77;492;408;-0,0005065569;
78;488;408;-0,0006078683;
79;486;408;-0,000658524;
80;487;408;-0,0006331961;
81;487;408;-0,0006331961;
82;488;408;-0,0006078683;
83;488;408;-0,0006078683;
84;490;408;-0,0005572126;
85;492;408;-0,0005065569;
86;492;408;-0,0005065569;
87;496;408;-0,0004052455;
88;500;408;-0,0003039342;
89;503;409;-0,0002279506;
90;506;408;-0,0001519671;
91;508;408;-0,0001013114;
92;510;408;-5,065569E-05;
93;513;408;2,532784E-05;
94;515;408;7,598354E-05;
95;515;408;7,598354E-05;
96;512;408;0;
97;509;408;-7,598354E-05;
98;504;408;-0,0002026228;
99;499;408;-0,000329262;
100;497;408;-0,0003799177;
101;495;408;-0,0004305734;
102;493;408;-0,000481229;
103;492;408;-0,0005065569;
104;493;408;-0,000481229;
105;495;408;-0,0004305734;
106;497;408;-0,0003799177;
107;501;408;-0,0002786063;
108;503;408;-0,0002279506;
109;505;408;-0,0001772949;
110;507;408;-0,0001266392;
111;510;408;-5,065569E-05;
112;512;408;0;
113;513;408;2,532784E-05;
114;515;408;7,598354E-05;
115;519;408;0,0001772949;
116;521;408;0,0002279506;
117;519;408;0,0001772949;
118;513;408;2,532784E-05;
119;504;408;-0,0002026228;
120;493;408;-0,000481229;
121;483;408;-0,0007345075;
122;473;408;-0,000987786;
123;468;408;-0,001114425;
124;470;408;-0,001063769;
125;472;408;-0,001013114;
126;476;408;-0,0009118024;
127;480;408;-0,000810491;
128;483;408;-0,0007345075;
129;484;408;-0,0007091797;
130;485;408;-0,0006838518;
131;487;408;-0,0006331961;
132;487;408;-0,0006331961;
133;486;408;-0,000658524;
134;485;408;-0,0006838518;
135;483;408;-0,0007345075;
136;480;408;-0,000810491;
137;477;407;-0,0008864746;
138;474;408;-0,0009624581;
139;470;408;-0,001063769;
140;466;408;-0,001165081;
141;464;407;-0,001215737;
142;462;407;-0,001266392;
143;457;408;-0,001393031;
144;455;408;-0,001443687;
145;454;408;-0,001469015;
146;453;408;-0,001494343;
147;452;408;-0,001519671;
148;454;408;-0,001469015;
149;460;408;-0,001317048;
150;462;408;-0,001266392;
151;466;408;-0,001165081;
152;469;408;-0,001089097;
153;468;407;-0,001114425;
154;466;408;-0,001165081;
155;462;408;-0,001266392;
156;457;407;-0,001393031;
157;455;408;-0,001443687;
158;454;407;-0,001469015;
159;455;407;-0,001443687;
160;454;407;-0,001469015;
161;455;407;-0,001443687;
162;458;407;-0,001367704;
163;460;407;-0,001317048;
164;464;408;-0,001215737;
165;468;407;-0,001114425;
166;472;408;-0,001013114;
167;473;408;-0,000987786;
168;475;407;-0,0009371302;
169;478;407;-0,0008611467;
170;480;408;-0,000810491;
171;481;407;-0,0007851632;
172;481;408;-0,0007851632;
173;480;407;-0,000810491;
174;480;407;-0,000810491;
175;479;407;-0,0008358189;
176;476;407;-0,0009118024;
177;471;407;-0,001038442;
178;467;407;-0,001139753;
179;464;407;-0,001215737;
180;461;407;-0,00129172;
181;462;407;-0,001266392;
182;465;407;-0,001190409;
183;467;407;-0,001139753;
184;470;407;-0,001063769;
185;473;407;-0,000987786;
186;478;407;-0,0008611467;
187;481;408;-0,0007851632;
188;484;407;-0,0007091797;
189;487;408;-0,0006331961;
190;489;407;-0,0005825404;
191;491;407;-0,0005318847;
192;492;407;-0,0005065569;
193;491;407;-0,0005318847;
194;491;407;-0,0005318847;
195;491;407;-0,0005318847;
196;488;407;-0,0006078683;
197;486;407;-0,000658524;
198;481;407;-0,0007851632;
199;476;407;-0,0009118024;
200;471;407;-0,001038442;
201;467;407;-0,001139753;
202;463;407;-0,001241064;
203;463;407;-0,001241064;
204;465;407;-0,001190409;
205;467;407;-0,001139753;
206;467;407;-0,001139753;
207;467;407;-0,001139753;
208;467;407;-0,001139753;
209;468;407;-0,001114425;
210;471;407;-0,001038442;
211;474;407;-0,0009624581;
212;480;407;-0,000810491;
213;484;407;-0,0007091797;
214;487;407;-0,0006331961;
215;489;407;-0,0005825404;
216;491;407;-0,0005318847;
217;490;407;-0,0005572126;
218;488;407;-0,0006078683;
219;487;407;-0,0006331961;
220;485;406;-0,0006838518;
221;484;407;-0,0007091797;
222;482;407;-0,0007598354;
223;479;407;-0,0008358189;
224;474;407;-0,0009624581;
225;468;407;-0,001114425;
226;464;407;-0,001215737;
227;463;407;-0,001241064;
228;463;407;-0,001241064;
229;466;407;-0,001165081;
230;470;407;-0,001063769;
231;473;407;-0,000987786;
232;479;407;-0,0008358189;
233;488;407;-0,0006078683;
234;496;407;-0,0004052455;
235;504;406;-0,0002026228;
236;511;407;-2,532784E-05;
237;517;406;0,0001266392;
238;523;406;0,0002786063;
239;529;407;0,0004305734;
240;534;406;0,0005572126;
241;542;406;0,0007598354;
242;552;406;0,001013114;
243;563;406;0,00129172;
244;578;406;0,001671638;
245;596;406;0,002127539;
246;616;406;0,002634096;
247;635;406;0,003115325;
248;654;406;0,003596554;
249;670;406;0,0040018;
250;679;405;0,00422975;
251;689;406;0,004483029;
252;700;406;0,004761635;
253;712;406;0,005065569;
254;724;406;0,005369503;
255;731;406;0,005546798;
256;735;405;0,00564811;
257;744;405;0,00587606;
258;760;404;0,006281306;
259;771;405;0,006559912;
260;775;405;0,006661223;
261;775;406;0,006661223;
262;771;405;0,006559912;
263;761;406;0,006306633;
264;743;405;0,005850732;
265;719;405;0,005242864;
266;695;406;0,004634995;
267;667;406;0,003925816;
268;636;406;0,003140653;
269;606;406;0,002380817;
270;578;406;0,001671638;
271;555;405;0,001089097;
272;539;405;0,0006838518;
273;528;406;0,0004052455;
274;523;406;0,0002786063;
275;516;405;0,0001013114;
276;508;406;-0,0001013114;
277;500;405;-0,0003039342;
278;492;405;-0,0005065569;
279;484;406;-0,0007091797;
280;477;405;-0,0008864746;
281;470;405;-0,001063769;
282;462;405;-0,001266392;
283;454;405;-0,001469015;
284;447;406;-0,00164631;
285;441;406;-0,001798277;
286;438;406;-0,00187426;
287;435;406;-0,001950244;
288;434;405;-0,001975572;
289;434;406;-0,001975572;
290;436;406;-0,001924916;
291;437;406;-0,001899588;
292;439;406;-0,001848933;
293;441;405;-0,001798277;
294;444;406;-0,001722293;
295;445;406;-0,001696966;
296;445;406;-0,001696966;
297;446;405;-0,001671638;
298;447;405;-0,00164631;
299;449;406;-0,001595654;
300;452;405;-0,001519671;
301;454;405;-0,001469015;
302;457;405;-0,001393031;
303;459;405;-0,001342376;
304;462;406;-0,001266392;
305;465;406;-0,001190409;
306;466;406;-0,001165081;
307;465;405;-0,001190409;
308;462;406;-0,001266392;
309;459;406;-0,001342376;
310;460;406;-0,001317048;
311;462;405;-0,001266392;
312;463;405;-0,001241064;
313;463;405;-0,001241064;
314;463;406;-0,001241064;
315;459;405;-0,001342376;
316;456;405;-0,001418359;
317;454;405;-0,001469015;
318;455;405;-0,001443687;
319;456;405;-0,001418359;
320;457;405;-0,001393031;
321;459;405;-0,001342376;
322;465;405;-0,001190409;
323;468;405;-0,001114425;
324;469;405;-0,001089097;
325;470;405;-0,001063769;
326;471;406;-0,001038442;
327;472;406;-0,001013114;
328;473;405;-0,000987786;
329;476;405;-0,0009118024;
330;476;406;-0,0009118024;
331;477;406;-0,0008864746;
332;477;405;-0,0008864746;
333;477;405;-0,0008864746;
334;475;405;-0,0009371302;
335;476;405;-0,0009118024;
336;478;405;-0,0008611467;
337;480;405;-0,000810491;
338;481;405;-0,0007851632;
339;483;405;-0,0007345075;
340;483;405;-0,0007345075;
341;481;405;-0,0007851632;
342;481;405;-0,0007851632;
343;481;405;-0,0007851632;
344;480;405;-0,000810491;
345;480;405;-0,000810491;
346;481;405;-0,0007851632;
347;484;405;-0,0007091797;
348;487;405;-0,0006331961;
349;490;406;-0,0005572126;
350;493;405;-0,000481229;
351;495;405;-0,0004305734;
352;496;405;-0,0004052455;
353;496;405;-0,0004052455;
354;497;405;-0,0003799177;
355;497;405;-0,0003799177;
356;496;405;-0,0004052455;
357;494;405;-0,0004559012;
358;492;405;-0,0005065569;
359;491;405;-0,0005318847;
360;490;405;-0,0005572126;
361;491;405;-0,0005318847;
362;494;405;-0,0004559012;
363;499;405;-0,000329262;
364;502;405;-0,0002532784;
365;504;405;-0,0002026228;
366;504;405;-0,0002026228;
367;505;405;-0,0001772949;
368;506;405;-0,0001519671;
369;506;405;-0,0001519671;
370;503;405;-0,0002279506;
371;499;405;-0,000329262;
372;494;405;-0,0004559012;
373;491;405;-0,0005318847;
374;490;405;-0,0005572126;
375;490;405;-0,0005572126;
376;491;405;-0,0005318847;
377;491;405;-0,0005318847;
378;492;404;-0,0005065569;
379;493;404;-0,000481229;
380;493;405;-0,000481229;
381;494;405;-0,0004559012;
382;496;405;-0,0004052455;
383;499;405;-0,000329262;
384;502;405;-0,0002532784;
385;502;405;-0,0002532784;
386;503;405;-0,0002279506;
387;503;405;-0,0002279506;
388;504;405;-0,0002026228;
389;505;405;-0,0001772949;
390;507;405;-0,0001266392;
391;508;405;-0,0001013114;
392;511;405;-2,532784E-05;
393;513;405;2,532784E-05;
394;514;405;5,065569E-05;
395;517;405;0,0001266392;
396;518;404;0,0001519671;
397;519;404;0,0001772949;
398;521;404;0,0002279506;
399;523;405;0,0002786063;
400;523;404;0,0002786063;
