time;event;
404,5616;EnemiesSpeed: 1,808768;
409,5776;EnemiesSpeed: 1,803463;
414,5906;EnemiesSpeed: 1,816451;
414,7579;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
419,6024;EnemiesSpeed: 1,802044;
424,6142;EnemiesSpeed: 1,805026;
429,6261;EnemiesSpeed: 1,803514;
434,6394;EnemiesSpeed: 1,810257;
439,6508;EnemiesSpeed: 1,838743;
440,2917;Wave: 1; SpawnedEnemies: 6; SpawnPoints: 2; DamageReceived: 0;
444,6622;EnemiesSpeed: 1,844377;
449,6734;EnemiesSpeed: 1,81846;
454,6855;EnemiesSpeed: 1,831993;
459,6956;EnemiesSpeed: 1,905653;
464,7083;EnemiesSpeed: 1,917111;
465,7137;Wave: 2; SpawnedEnemies: 7; SpawnPoints: 2; DamageReceived: 0;
469,723;EnemiesSpeed: 1,805161;
474,7346;EnemiesSpeed: 1,824986;
479,7466;EnemiesSpeed: 1,83815;
484,7592;EnemiesSpeed: 1,813818;
489,7711;EnemiesSpeed: 1,816886;
494,7823;EnemiesSpeed: 1,80586;
499,3227;Wave: 3; SpawnedEnemies: 10; SpawnPoints: 3; DamageReceived: 0;
499,7912;EnemiesSpeed: 1,859704;
504,8058;EnemiesSpeed: 1,830486;
509,8169;EnemiesSpeed: 2,090617;
514,8304;EnemiesSpeed: 1,807355;
519,8405;EnemiesSpeed: 1,818502;
524,8514;EnemiesSpeed: 1,802211;
529,8636;EnemiesSpeed: 1,801542;
534,8772;EnemiesSpeed: 1,804956;
535,574;Wave: 4; SpawnedEnemies: 18; SpawnPoints: 3; DamageReceived: 0;
539,8896;EnemiesSpeed: 1,903533;
544,9032;EnemiesSpeed: 1,841007;
549,9324;EnemiesSpeed: 1,81038;
554,954;EnemiesSpeed: 1,801955;
559,9647;EnemiesSpeed: 1,864091;
561,4991;Wave: 5; SpawnedEnemies: 9; SpawnPoints: 3; DamageReceived: 0;
