time;ecg;eda;ecg_p;
0;717;332;0,005192208;
1;723;333;0,005344175;
2;737;333;0,005698765;
3;747;333;0,005952043;
4;753;332;0,006104011;
5;745;333;0,005901388;
6;738;333;0,005724093;
7;730;333;0,00552147;
8;725;332;0,005394831;
9;723;333;0,005344175;
10;726;334;0,005420159;
11;726;334;0,005420159;
12;732;333;0,005572126;
13;743;333;0,005850732;
14;758;333;0,00623065;
15;772;332;0,00658524;
16;787;333;0,006965158;
17;797;333;0,007218436;
18;812;333;0,007598354;
19;826;332;0,007952943;
20;836;333;0,008206222;
21;836;333;0,008206222;
22;836;333;0,008206222;
23;833;332;0,008130238;
24;831;333;0,008079583;
25;816;333;0,007699665;
26;796;333;0,007193108;
27;779;333;0,006762535;
28;760;334;0,006281306;
29;746;334;0,005926716;
30;738;333;0,005724093;
31;736;333;0,005673437;
32;741;334;0,005800076;
33;754;333;0,006129338;
34;764;332;0,006382617;
35;770;333;0,006534584;
36;777;334;0,006711879;
37;783;333;0,006863846;
38;793;332;0,007117124;
39;804;332;0,007395731;
40;815;333;0,007674337;
41;821;333;0,007826304;
42;824;332;0,007902288;
43;828;332;0,008003599;
44;829;333;0,008028927;
45;825;333;0,007927615;
46;814;332;0,007649009;
47;801;333;0,007319747;
48;790;334;0,007041141;
49;781;333;0,00681319;
50;775;333;0,006661223;
51;779;333;0,006762535;
52;792;334;0,007091796;
53;803;333;0,007370403;
54;812;333;0,007598354;
55;818;332;0,007750321;
56;825;333;0,007927615;
57;833;333;0,008130238;
58;841;333;0,008332861;
59;850;332;0,008560812;
60;854;332;0,008662123;
61;860;333;0,00881409;
62;864;333;0,008915401;
63;862;332;0,008864745;
64;857;332;0,008738106;
65;843;333;0,008383517;
66;821;333;0,007826304;
67;806;333;0,007446386;
68;787;332;0,006965158;
69;767;333;0,006458601;
70;747;333;0,005952043;
71;736;333;0,005673437;
72;729;333;0,005496142;
73;720;333;0,005268192;
74;717;333;0,005192208;
75;721;333;0,00529352;
76;723;332;0,005344175;
77;730;333;0,00552147;
78;742;333;0,005825405;
79;755;333;0,006154666;
80;764;332;0,006382617;
