time;event;
162,69;EnemiesSpeed: 1,810899;
167,7016;EnemiesSpeed: 2,031551;
172,7152;EnemiesSpeed: 1,861312;
177,7254;EnemiesSpeed: 1,940892;
182,7256;EnemiesSpeed: 1,826509;
184,5893;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
187,7365;EnemiesSpeed: 1,844903;
192,7484;EnemiesSpeed: 2,813236;
197,7604;EnemiesSpeed: 1,900267;
202,7725;EnemiesSpeed: 1,807549;
207,7807;EnemiesSpeed: 1,808211;
212,1409;Wave: 1; SpawnedEnemies: 4; SpawnPoints: 2; DamageReceived: 0;
212,781;EnemiesSpeed: 1,804699;
217,7816;EnemiesSpeed: 1,810468;
222,7914;EnemiesSpeed: 1,81345;
227,8043;EnemiesSpeed: 1,855428;
232,8173;EnemiesSpeed: 1,801219;
237,8276;EnemiesSpeed: 2,27106;
240,1934;Wave: 2; SpawnedEnemies: 6; SpawnPoints: 2; DamageReceived: 0;
242,8397;EnemiesSpeed: 1,836748;
247,852;EnemiesSpeed: 1,860498;
252,8636;EnemiesSpeed: 1,812716;
257,8755;EnemiesSpeed: 1,833859;
262,8882;EnemiesSpeed: 2,103597;
267,8882;EnemiesSpeed: 1,840717;
272,8975;EnemiesSpeed: 1,926961;
277,9089;EnemiesSpeed: 1,867225;
282,9151;EnemiesSpeed: 1,866528;
285,733;Wave: 3; SpawnedEnemies: 11; SpawnPoints: 3; DamageReceived: 0;
287,9196;EnemiesSpeed: 1,805759;
292,9322;EnemiesSpeed: 1,825009;
297,9447;EnemiesSpeed: 1,835479;
302,9575;EnemiesSpeed: 1,800601;
307,968;EnemiesSpeed: 1,914135;
312,9795;EnemiesSpeed: 1,828225;
317,9923;EnemiesSpeed: 1,801571;
323,0028;EnemiesSpeed: 1,816455;
325,9706;Wave: 4; SpawnedEnemies: 16; SpawnPoints: 3; DamageReceived: 0;
328,0151;EnemiesSpeed: 1,848968;
333,0164;EnemiesSpeed: 1,836202;
338,0251;EnemiesSpeed: 1,889137;
343,0371;EnemiesSpeed: 1,802387;
348,0496;EnemiesSpeed: 3,175159;
352,8807;Wave: 5; SpawnedEnemies: 8; SpawnPoints: 3; DamageReceived: 0;
353,0612;EnemiesSpeed: 3,663704;
358,0641;EnemiesSpeed: 3,120905;
363,0647;EnemiesSpeed: 1,998067;
368,0659;EnemiesSpeed: 1,812313;
373,0761;EnemiesSpeed: 1,800397;
378,078;EnemiesSpeed: 1,801162;
383,0876;EnemiesSpeed: 2,019019;
387,4047;Wave: 6; SpawnedEnemies: 6; SpawnPoints: 4; DamageReceived: 0;
388,0932;EnemiesSpeed: 1,866416;
393,1057;EnemiesSpeed: 1,964297;
398,1069;EnemiesSpeed: 1,823169;
403,1262;EnemiesSpeed: 1,805176;
408,1343;EnemiesSpeed: 1,829851;
412,9477;Wave: 7; SpawnedEnemies: 6; SpawnPoints: 3; DamageReceived: 0;
