time;ecg;eda;ecg_p;
0;493;182;-0,000481229;
1;495;183;-0,0004305734;
2;498;182;-0,0003545898;
3;500;181;-0,0003039342;
4;504;182;-0,0002026228;
5;507;183;-0,0001266392;
6;510;183;-5,065569E-05;
7;511;183;-2,532784E-05;
8;511;182;-2,532784E-05;
9;509;183;-7,598354E-05;
10;506;183;-0,0001519671;
11;504;183;-0,0002026228;
12;499;183;-0,000329262;
13;495;183;-0,0004305734;
14;492;183;-0,0005065569;
15;490;182;-0,0005572126;
16;488;182;-0,0006078683;
17;487;182;-0,0006331961;
18;487;182;-0,0006331961;
19;488;182;-0,0006078683;
20;491;182;-0,0005318847;
21;494;182;-0,0004559012;
22;497;182;-0,0003799177;
23;502;181;-0,0002532784;
24;507;181;-0,0001266392;
25;511;182;-2,532784E-05;
26;514;183;5,065569E-05;
27;516;183;0,0001013114;
28;517;182;0,0001266392;
29;515;182;7,598354E-05;
30;512;183;0;
31;508;183;-0,0001013114;
32;504;183;-0,0002026228;
33;497;183;-0,0003799177;
34;492;182;-0,0005065569;
35;483;182;-0,0007345075;
36;474;182;-0,0009624581;
37;465;182;-0,001190409;
38;455;182;-0,001443687;
39;447;182;-0,00164631;
40;443;181;-0,001747621;
41;443;181;-0,001747621;
42;444;182;-0,001722293;
43;449;182;-0,001595654;
44;457;182;-0,001393031;
45;467;183;-0,001139753;
46;480;182;-0,000810491;
47;492;182;-0,0005065569;
48;503;182;-0,0002279506;
49;511;183;-2,532784E-05;
50;519;183;0,0001772949;
51;529;183;0,0004305734;
52;539;182;0,0006838518;
53;550;181;0,0009624581;
54;563;181;0,00129172;
55;576;182;0,001620982;
56;590;182;0,001975572;
57;604;182;0,002330162;
58;621;180;0,002760735;
59;642;180;0,00329262;
60;663;181;0,003824505;
61;683;182;0,004331062;
62;702;181;0,00481229;
63;721;180;0,00529352;
64;739;180;0,005749421;
65;756;181;0,006179994;
66;773;182;0,006610568;
67;785;182;0,006914502;
68;785;180;0,006914502;
69;773;180;0,006610568;
70;747;181;0,005952043;
71;712;183;0,005065569;
72;675;182;0,004128439;
73;637;181;0,003165981;
74;601;181;0,002254178;
75;565;182;0,001342376;
76;529;182;0,0004305734;
77;500;182;-0,0003039342;
78;475;181;-0,0009371302;
79;455;181;-0,001443687;
80;436;182;-0,001924916;
81;415;182;-0,002456801;
82;390;182;-0,003089997;
83;366;181;-0,003697865;
84;342;182;-0,004305734;
85;322;182;-0,00481229;
86;308;183;-0,00516688;
87;300;183;-0,005369503;
88;297;183;-0,005445487;
89;299;183;-0,005394831;
90;302;183;-0,005318847;
91;306;183;-0,005217536;
92;312;182;-0,005065569;
93;320;182;-0,004862946;
94;331;182;-0,00458434;
95;345;182;-0,00422975;
96;361;182;-0,003824505;
97;376;182;-0,003444587;
98;390;181;-0,003089997;
99;403;181;-0,002760735;
100;417;182;-0,002406145;
101;430;182;-0,002076883;
102;442;182;-0,001772949;
103;454;181;-0,001469015;
104;465;181;-0,001190409;
105;476;182;-0,0009118024;
106;484;182;-0,0007091797;
107;489;182;-0,0005825404;
108;493;182;-0,000481229;
109;495;182;-0,0004305734;
110;494;183;-0,0004559012;
111;492;183;-0,0005065569;
112;488;182;-0,0006078683;
113;484;181;-0,0007091797;
114;481;181;-0,0007851632;
115;479;182;-0,0008358189;
116;478;182;-0,0008611467;
117;478;182;-0,0008611467;
118;478;181;-0,0008611467;
119;480;181;-0,000810491;
120;483;181;-0,0007345075;
121;487;181;-0,0006331961;
122;491;182;-0,0005318847;
123;494;180;-0,0004559012;
124;499;181;-0,000329262;
125;504;182;-0,0002026228;
126;509;182;-7,598354E-05;
127;512;182;0;
128;514;181;5,065569E-05;
129;514;182;5,065569E-05;
130;513;182;2,532784E-05;
131;510;182;-5,065569E-05;
132;507;182;-0,0001266392;
133;504;181;-0,0002026228;
134;502;181;-0,0002532784;
135;499;182;-0,000329262;
136;498;182;-0,0003545898;
137;498;181;-0,0003545898;
138;499;180;-0,000329262;
139;501;181;-0,0002786063;
140;503;181;-0,0002279506;
141;507;182;-0,0001266392;
142;510;180;-5,065569E-05;
143;513;181;2,532784E-05;
144;518;181;0,0001519671;
145;523;182;0,0002786063;
146;526;181;0,0003545898;
147;528;181;0,0004052455;
148;529;182;0,0004305734;
149;529;182;0,0004305734;
150;527;182;0,0003799177;
151;524;182;0,0003039342;
152;521;181;0,0002279506;
153;518;182;0,0001519671;
154;516;182;0,0001013114;
155;514;182;5,065569E-05;
156;512;181;0;
157;511;181;-2,532784E-05;
158;511;181;-2,532784E-05;
159;512;181;0;
160;513;181;2,532784E-05;
161;516;180;0,0001013114;
162;518;180;0,0001519671;
163;521;181;0,0002279506;
164;525;181;0,000329262;
165;527;182;0,0003799177;
166;530;181;0,0004559012;
167;531;181;0,000481229;
168;531;182;0,000481229;
169;531;182;0,000481229;
170;528;182;0,0004052455;
171;526;181;0,0003545898;
172;523;181;0,0002786063;
173;519;182;0,0001772949;
174;516;182;0,0001013114;
175;514;180;5,065569E-05;
176;512;181;0;
177;511;181;-2,532784E-05;
178;510;181;-5,065569E-05;
179;511;181;-2,532784E-05;
180;512;180;0;
181;515;180;7,598354E-05;
182;518;181;0,0001519671;
183;521;181;0,0002279506;
184;525;181;0,000329262;
185;528;181;0,0004052455;
186;531;180;0,000481229;
187;533;181;0,0005318847;
188;534;182;0,0005572126;
189;533;182;0,0005318847;
190;531;181;0,000481229;
191;527;181;0,0003799177;
192;523;181;0,0002786063;
193;518;182;0,0001519671;
194;515;182;7,598354E-05;
195;512;181;0;
196;511;180;-2,532784E-05;
197;511;180;-2,532784E-05;
198;511;181;-2,532784E-05;
199;511;181;-2,532784E-05;
200;512;180;0;
201;515;180;7,598354E-05;
202;520;180;0,0002026228;
203;525;181;0,000329262;
204;530;181;0,0004559012;
205;535;181;0,0005825404;
206;539;180;0,0006838518;
207;542;181;0,0007598354;
208;543;182;0,0007851632;
209;543;182;0,0007851632;
210;542;182;0,0007598354;
211;539;181;0,0006838518;
212;536;181;0,0006078683;
213;532;181;0,0005065569;
214;530;182;0,0004559012;
215;527;181;0,0003799177;
216;525;181;0,000329262;
217;524;180;0,0003039342;
218;524;180;0,0003039342;
219;526;181;0,0003545898;
220;528;181;0,0004052455;
221;530;180;0,0004559012;
222;532;180;0,0005065569;
223;536;180;0,0006078683;
224;539;181;0,0006838518;
225;543;181;0,0007851632;
226;546;180;0,0008611467;
227;548;180;0,0009118024;
228;548;181;0,0009118024;
229;547;182;0,0008864746;
230;544;182;0,000810491;
231;541;181;0,0007345075;
232;536;180;0,0006078683;
233;532;180;0,0005065569;
234;528;181;0,0004052455;
235;525;181;0,000329262;
236;524;181;0,0003039342;
237;521;181;0,0002279506;
238;520;179;0,0002026228;
239;521;179;0,0002279506;
240;523;180;0,0002786063;
241;526;181;0,0003545898;
242;530;180;0,0004559012;
243;533;180;0,0005318847;
244;538;179;0,000658524;
245;542;180;0,0007598354;
246;545;181;0,0008358189;
247;549;181;0,0009371302;
248;550;181;0,0009624581;
249;551;181;0,000987786;
250;549;180;0,0009371302;
251;547;180;0,0008864746;
252;544;181;0,000810491;
253;541;181;0,0007345075;
254;538;181;0,000658524;
255;535;181;0,0005825404;
256;533;181;0,0005318847;
257;532;179;0,0005065569;
258;531;179;0,000481229;
259;532;180;0,0005065569;
260;535;180;0,0005825404;
261;539;180;0,0006838518;
262;543;180;0,0007851632;
263;550;179;0,0009624581;
264;555;179;0,001089097;
265;559;179;0,001190409;
266;565;180;0,001342376;
267;568;181;0,001418359;
268;569;181;0,001443687;
269;569;182;0,001443687;
270;567;180;0,001393031;
271;564;180;0,001317048;
272;560;180;0,001215737;
273;556;181;0,001114425;
274;553;181;0,001038442;
275;549;181;0,0009371302;
276;546;179;0,0008611467;
277;545;179;0,0008358189;
278;543;179;0,0007851632;
279;543;180;0,0007851632;
280;543;180;0,0007851632;
281;545;180;0,0008358189;
282;548;179;0,0009118024;
283;551;179;0,000987786;
284;555;179;0,001089097;
285;559;180;0,001190409;
286;563;181;0,00129172;
287;565;181;0,001342376;
288;566;180;0,001367704;
289;565;180;0,001342376;
290;562;180;0,001266392;
291;559;181;0,001190409;
292;554;181;0,001063769;
293;551;180;0,000987786;
294;548;180;0,0009118024;
295;544;179;0,000810491;
296;542;179;0,0007598354;
297;542;180;0,0007598354;
298;542;180;0,0007598354;
299;543;180;0,0007851632;
300;546;180;0,0008611467;
301;551;179;0,000987786;
302;556;179;0,001114425;
303;561;179;0,001241064;
304;566;179;0,001367704;
305;571;180;0,001494343;
306;575;180;0,001595654;
307;577;180;0,00164631;
308;578;181;0,001671638;
309;577;181;0,00164631;
310;574;180;0,001570326;
311;569;179;0,001443687;
312;564;180;0,001317048;
313;559;180;0,001190409;
314;553;180;0,001038442;
315;549;180;0,0009371302;
316;545;180;0,0008358189;
317;542;179;0,0007598354;
318;540;179;0,0007091797;
319;540;179;0,0007091797;
320;540;180;0,0007091797;
321;540;180;0,0007091797;
322;542;180;0,0007598354;
323;544;179;0,000810491;
324;547;179;0,0008864746;
325;550;179;0,0009624581;
326;552;180;0,001013114;
327;553;180;0,001038442;
328;552;181;0,001013114;
329;550;180;0,0009624581;
330;545;180;0,0008358189;
331;540;180;0,0007091797;
332;536;181;0,0006078683;
333;531;180;0,000481229;
334;527;180;0,0003799177;
335;524;179;0,0003039342;
336;520;179;0,0002026228;
337;518;180;0,0001519671;
338;516;180;0,0001013114;
339;515;180;7,598354E-05;
340;514;179;5,065569E-05;
341;514;179;5,065569E-05;
342;515;179;7,598354E-05;
343;516;179;0,0001013114;
344;518;180;0,0001519671;
345;520;180;0,0002026228;
346;522;180;0,0002532784;
347;522;179;0,0002532784;
348;522;179;0,0002532784;
349;521;180;0,0002279506;
350;518;180;0,0001519671;
351;513;180;2,532784E-05;
352;508;180;-0,0001013114;
353;505;180;-0,0001772949;
354;503;179;-0,0002279506;
355;499;179;-0,000329262;
356;497;179;-0,0003799177;
357;495;180;-0,0004305734;
358;494;180;-0,0004559012;
359;493;180;-0,000481229;
360;494;179;-0,0004559012;
361;496;179;-0,0004052455;
362;498;179;-0,0003545898;
363;502;179;-0,0002532784;
364;506;179;-0,0001519671;
365;509;180;-7,598354E-05;
366;512;180;0;
367;514;180;5,065569E-05;
368;514;179;5,065569E-05;
369;512;180;0;
370;510;180;-5,065569E-05;
371;505;180;-0,0001772949;
372;499;180;-0,000329262;
373;496;180;-0,0004052455;
374;494;179;-0,0004559012;
375;492;179;-0,0005065569;
376;490;179;-0,0005572126;
377;488;180;-0,0006078683;
378;487;179;-0,0006331961;
379;487;179;-0,0006331961;
380;488;179;-0,0006078683;
381;490;179;-0,0005572126;
382;492;179;-0,0005065569;
383;495;178;-0,0004305734;
384;498;179;-0,0003545898;
385;501;179;-0,0002786063;
386;504;180;-0,0002026228;
387;506;180;-0,0001519671;
388;507;180;-0,0001266392;
389;507;179;-0,0001266392;
390;504;179;-0,0002026228;
391;500;180;-0,0003039342;
392;496;180;-0,0004052455;
393;491;180;-0,0005318847;
394;487;180;-0,0006331961;
