time;event;
58,4925;EnemiesSpeed: 2,10725;
63,50529;EnemiesSpeed: 2,47855;
68,51768;EnemiesSpeed: 2,308635;
69,13012;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
73,52896;EnemiesSpeed: 1,844339;
78,54057;EnemiesSpeed: 2,304619;
83,55563;EnemiesSpeed: 1,954397;
88,56587;EnemiesSpeed: 1,91502;
92,42204;Wave: 1; SpawnedEnemies: 5; SpawnPoints: 2; DamageReceived: 0;
93,57609;EnemiesSpeed: 1,920067;
98,589;EnemiesSpeed: 1,855486;
103,5911;EnemiesSpeed: 1,903039;
108,6024;EnemiesSpeed: 1,925751;
110,0236;Wave: 2; SpawnedEnemies: 7; SpawnPoints: 2; DamageReceived: 0;
113,6026;EnemiesSpeed: 1,944991;
118,6136;EnemiesSpeed: 2,191798;
123,6256;EnemiesSpeed: 1,948735;
128,6382;EnemiesSpeed: 1,905506;
133,6501;EnemiesSpeed: 2,14825;
138,6626;EnemiesSpeed: 1,891144;
143,6736;EnemiesSpeed: 2,168806;
146,0689;Wave: 3; SpawnedEnemies: 7; SpawnPoints: 3; DamageReceived: 0;
148,6877;EnemiesSpeed: 1,950615;
153,6984;EnemiesSpeed: 1,901786;
158,709;EnemiesSpeed: 1,888366;
163,7219;EnemiesSpeed: 2,842908;
168,7328;EnemiesSpeed: 2,058642;
173,7451;EnemiesSpeed: 1,896299;
178,7571;EnemiesSpeed: 2,133336;
183,7685;EnemiesSpeed: 1,90873;
184,8683;Wave: 4; SpawnedEnemies: 15; SpawnPoints: 3; DamageReceived: 0;
188,7816;EnemiesSpeed: 1,948692;
193,7899;EnemiesSpeed: 2,299325;
198,8027;EnemiesSpeed: 1,992095;
203,8047;EnemiesSpeed: 2,486089;
207,9823;Wave: 5; SpawnedEnemies: 6; SpawnPoints: 3; DamageReceived: 0;
208,8155;EnemiesSpeed: 1,937738;
213,8284;EnemiesSpeed: 2,481357;
218,8418;EnemiesSpeed: 1,930788;
223,8502;EnemiesSpeed: 2,655342;
228,8635;EnemiesSpeed: 2,476991;
231,1607;Wave: 6; SpawnedEnemies: 5; SpawnPoints: 4; DamageReceived: 0;
233,8768;EnemiesSpeed: 2,047138;
238,8888;EnemiesSpeed: 2,171184;
243,8993;EnemiesSpeed: 1,862995;
248,912;EnemiesSpeed: 2,718443;
253,9236;EnemiesSpeed: 2,156459;
256,0403;Wave: 7; SpawnedEnemies: 6; SpawnPoints: 4; DamageReceived: 0;
258,9371;EnemiesSpeed: 2,127728;
263,9485;EnemiesSpeed: 2,030469;
268,9562;EnemiesSpeed: 2,030612;
273,9583;EnemiesSpeed: 2,338384;
278,969;EnemiesSpeed: 2,347806;
283,9818;EnemiesSpeed: 2,076668;
288,9944;EnemiesSpeed: 2,089134;
290,2499;Wave: 8; SpawnedEnemies: 10; SpawnPoints: 5; DamageReceived: 0;
294,0101;EnemiesSpeed: 1,894981;
299,017;EnemiesSpeed: 2,211684;
304,0294;EnemiesSpeed: 2,395875;
309,041;EnemiesSpeed: 2,29162;
314,0527;EnemiesSpeed: 2,463789;
319,0547;EnemiesSpeed: 1,907267;
322,5206;Wave: 9; SpawnedEnemies: 10; SpawnPoints: 6; DamageReceived: 0;
324,0635;EnemiesSpeed: 2,009856;
