time;event;
33,06301;EnemiesSpeed: 2,555166;
38,07086;EnemiesSpeed: 3,03908;
43,07652;EnemiesSpeed: 2,530468;
48,08199;EnemiesSpeed: 2,429063;
52,7039;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
53,08842;EnemiesSpeed: 3,080222;
58,09428;EnemiesSpeed: 2,462399;
63,09435;EnemiesSpeed: 2,118459;
68,09604;EnemiesSpeed: 2,255284;
73,10239;EnemiesSpeed: 2,010505;
78,11668;EnemiesSpeed: 2,100165;
81,12767;Wave: 1; SpawnedEnemies: 5; SpawnPoints: 2; DamageReceived: 0;
83,11965;EnemiesSpeed: 1,836351;
88,12638;EnemiesSpeed: 3,407603;
93,13628;EnemiesSpeed: 2,567196;
95,94841;Wave: 2; SpawnedEnemies: 6; SpawnPoints: 1; DamageReceived: 0;
98,13754;EnemiesSpeed: 1,953205;
103,1489;EnemiesSpeed: 3,283904;
108,1566;EnemiesSpeed: 2,568624;
113,1573;EnemiesSpeed: 2,694834;
118,1696;EnemiesSpeed: 2,133517;
123,1817;EnemiesSpeed: 1,88613;
128,1956;EnemiesSpeed: 1,842511;
128,4318;Wave: 3; SpawnedEnemies: 7; SpawnPoints: 3; DamageReceived: 0;
133,2154;EnemiesSpeed: 1,838327;
138,2184;EnemiesSpeed: 3,038853;
143,2307;EnemiesSpeed: 1,994546;
148,242;EnemiesSpeed: 2,549786;
153,2551;EnemiesSpeed: 2,391773;
158,2679;EnemiesSpeed: 3,32127;
162,1818;Wave: 4; SpawnedEnemies: 11; SpawnPoints: 3; DamageReceived: 0;
163,2776;EnemiesSpeed: 3,272114;
168,2861;EnemiesSpeed: 1,830101;
173,2875;EnemiesSpeed: 1,776044;
178,3004;EnemiesSpeed: 1,877058;
179,5071;Wave: 5; SpawnedEnemies: 6; SpawnPoints: 2; DamageReceived: 0;
183,3091;EnemiesSpeed: 1,872588;
188,321;EnemiesSpeed: 1,834215;
193,3331;EnemiesSpeed: 1,98674;
198,3461;EnemiesSpeed: 2,513883;
200,9502;Wave: 6; SpawnedEnemies: 4; SpawnPoints: 4; DamageReceived: 0;
203,3567;EnemiesSpeed: 2,003977;
208,3568;EnemiesSpeed: 2,574435;
213,3586;EnemiesSpeed: 2,448684;
218,3693;EnemiesSpeed: 1,846729;
221,9064;Wave: 7; SpawnedEnemies: 5; SpawnPoints: 3; DamageReceived: 0;
223,3815;EnemiesSpeed: 3,221183;
228,3879;EnemiesSpeed: 2,576957;
233,3897;EnemiesSpeed: 1,890627;
238,3898;EnemiesSpeed: 1,983075;
243,4056;EnemiesSpeed: 2,440878;
248,4093;EnemiesSpeed: 1,950107;
253,4107;EnemiesSpeed: 1,905854;
258,4223;EnemiesSpeed: 1,762372;
260,4819;Wave: 8; SpawnedEnemies: 8; SpawnPoints: 4; DamageReceived: 0;
263,4331;EnemiesSpeed: 3,432177;
268,4455;EnemiesSpeed: 3,384934;
273,4548;EnemiesSpeed: 3,226727;
278,4663;EnemiesSpeed: 3,20556;
283,4804;EnemiesSpeed: 1,870546;
288,4933;EnemiesSpeed: 2,970957;
293,5022;EnemiesSpeed: 3,075931;
296,7201;Wave: 9; SpawnedEnemies: 8; SpawnPoints: 5; DamageReceived: 0;
298,5157;EnemiesSpeed: 2,123324;
303,5288;EnemiesSpeed: 2,034471;
308,5292;EnemiesSpeed: 2,210732;
313,5403;EnemiesSpeed: 2,373598;
318,5507;EnemiesSpeed: 1,890498;
322,1847;Wave: 10; SpawnedEnemies: 6; SpawnPoints: 4; DamageReceived: 0;
323,5511;EnemiesSpeed: 2,357047;
328,5591;EnemiesSpeed: 2,30779;
333,5593;EnemiesSpeed: 2,516179;
336,5672;Wave: 11; SpawnedEnemies: 3; SpawnPoints: 5; DamageReceived: 0;
338,5716;EnemiesSpeed: 2,286305;
343,5827;EnemiesSpeed: 1,846393;
348,5828;EnemiesSpeed: 2,279702;
353,5921;EnemiesSpeed: 1,963454;
358,5965;EnemiesSpeed: 1,686898;
363,6013;EnemiesSpeed: 1,734873;
368,6144;EnemiesSpeed: 1,640896;
373,6276;EnemiesSpeed: 1,744259;
378,6279;EnemiesSpeed: 3,060401;
379,2001;Wave: 12; SpawnedEnemies: 6; SpawnPoints: 5; DamageReceived: 0;
383,6402;EnemiesSpeed: 1,704166;
388,6515;EnemiesSpeed: 3,47533;
393,6598;EnemiesSpeed: 3,496968;
398,6612;EnemiesSpeed: 3,496968;
403,669;EnemiesSpeed: 3,496968;
408,3609;Wave: 13; SpawnedEnemies: 6; SpawnPoints: 6; DamageReceived: 0;
408,6811;EnemiesSpeed: 3,496968;
413,6932;EnemiesSpeed: 3,496968;
418,6937;EnemiesSpeed: 3,496968;
423,694;EnemiesSpeed: 3,496968;
428,5266;Wave: 14; SpawnedEnemies: 6; SpawnPoints: 5; DamageReceived: 0;
428,7066;EnemiesSpeed: 3,496968;
