time;ecg;eda;ecg_p;
0;476;178;-0,0009118024;
1;478;176;-0,0008611467;
2;481;178;-0,0007851632;
3;486;177;-0,000658524;
4;490;178;-0,0005572126;
5;494;177;-0,0004559012;
6;496;178;-0,0004052455;
7;498;177;-0,0003545898;
8;498;178;-0,0003545898;
9;494;177;-0,0004559012;
10;490;177;-0,0005572126;
11;484;176;-0,0007091797;
12;475;177;-0,0009371302;
13;465;176;-0,001190409;
14;455;177;-0,001443687;
15;447;176;-0,00164631;
16;439;177;-0,001848933;
17;434;176;-0,001975572;
18;431;177;-0,002051556;
19;432;176;-0,002026228;
20;436;178;-0,001924916;
21;441;177;-0,001798277;
22;447;178;-0,00164631;
23;452;177;-0,001519671;
24;457;178;-0,001393031;
25;462;177;-0,001266392;
26;464;178;-0,001215737;
27;466;177;-0,001165081;
28;466;178;-0,001165081;
29;464;177;-0,001215737;
30;462;178;-0,001266392;
31;456;177;-0,001418359;
32;450;177;-0,001570326;
33;444;176;-0,001722293;
34;435;177;-0,001950244;
35;429;177;-0,002102211;
36;422;177;-0,002279506;
37;417;177;-0,002406145;
38;414;177;-0,002482129;
39;414;177;-0,002482129;
40;416;177;-0,002431473;
41;421;178;-0,002304834;
42;427;177;-0,002152867;
43;433;178;-0,0020009;
44;439;177;-0,001848933;
45;443;178;-0,001747621;
46;447;177;-0,00164631;
47;450;178;-0,001570326;
48;451;177;-0,001544998;
49;450;178;-0,001570326;
50;448;178;-0,001620982;
51;444;177;-0,001722293;
52;439;177;-0,001848933;
53;432;176;-0,002026228;
54;424;177;-0,00222885;
55;417;176;-0,002406145;
56;411;177;-0,002558112;
57;407;177;-0,002659424;
58;407;177;-0,002659424;
59;410;177;-0,00258344;
60;415;177;-0,002456801;
61;420;178;-0,002330162;
62;426;177;-0,002178195;
63;432;178;-0,002026228;
64;438;177;-0,00187426;
65;443;178;-0,001747621;
66;448;177;-0,001620982;
67;452;178;-0,001519671;
68;455;178;-0,001443687;
69;455;177;-0,001443687;
70;453;178;-0,001494343;
71;449;177;-0,001595654;
72;444;177;-0,001722293;
73;438;176;-0,00187426;
74;432;177;-0,002026228;
75;425;176;-0,002203522;
76;419;177;-0,00235549;
77;415;176;-0,002456801;
78;413;177;-0,002507457;
79;414;177;-0,002482129;
80;418;177;-0,002380817;
81;423;178;-0,002254178;
82;429;177;-0,002102211;
83;437;178;-0,001899588;
84;444;177;-0,001722293;
85;451;178;-0,001544998;
86;457;177;-0,001393031;
87;463;178;-0,001241064;
88;467;177;-0,001139753;
89;470;178;-0,001063769;
90;470;177;-0,001063769;
91;468;177;-0,001114425;
92;463;177;-0,001241064;
93;458;176;-0,001367704;
94;453;177;-0,001494343;
95;450;176;-0,001570326;
96;449;177;-0,001595654;
97;455;176;-0,001443687;
98;465;177;-0,001190409;
99;481;176;-0,0007851632;
100;499;178;-0,000329262;
101;519;178;0,0001772949;
102;540;177;0,0007091797;
103;560;178;0,001215737;
104;582;176;0,001772949;
105;606;178;0,002380817;
106;632;176;0,003039341;
107;657;178;0,003672538;
108;677;177;0,004179094;
109;691;177;0,004533684;
110;700;178;0,004761635;
111;702;176;0,00481229;
112;690;177;0,004508357;
113;667;175;0,003925816;
114;642;177;0,00329262;
115;619;175;0,002710079;
116;595;177;0,002102211;
117;573;176;0,001544998;
118;556;177;0,001114425;
119;544;176;0,000810491;
120;538;178;0,000658524;
121;531;177;0,000481229;
122;524;177;0,0003039342;
123;516;178;0,0001013114;
124;508;177;-0,0001013114;
125;500;178;-0,0003039342;
126;494;177;-0,0004559012;
127;487;178;-0,0006331961;
128;475;177;-0,0009371302;
129;459;178;-0,001342376;
130;440;177;-0,001823605;
131;417;177;-0,002406145;
132;392;177;-0,003039341;
133;369;177;-0,003621882;
134;348;177;-0,004153767;
135;331;177;-0,00458434;
136;320;177;-0,004862946;
137;314;177;-0,005014913;
138;313;177;-0,005040241;
139;318;177;-0,004913602;
140;326;178;-0,004710979;
141;335;177;-0,004483029;
142;348;178;-0,004153767;
143;361;178;-0,003824505;
144;374;178;-0,003495243;
145;387;178;-0,003165981;
146;399;177;-0,002862046;
147;410;178;-0,00258344;
148;420;177;-0,002330162;
149;425;178;-0,002203522;
150;428;177;-0,002127539;
151;429;178;-0,002102211;
152;428;177;-0,002127539;
153;426;177;-0,002178195;
154;423;177;-0,002254178;
155;418;177;-0,002380817;
156;414;177;-0,002482129;
157;411;177;-0,002558112;
158;412;177;-0,002532785;
159;414;177;-0,002482129;
160;418;178;-0,002380817;
161;423;177;-0,002254178;
162;430;178;-0,002076883;
163;436;177;-0,001924916;
164;442;178;-0,001772949;
165;447;177;-0,00164631;
166;451;178;-0,001544998;
167;455;177;-0,001443687;
168;455;178;-0,001443687;
169;451;177;-0,001544998;
170;448;177;-0,001620982;
171;443;178;-0,001747621;
172;436;177;-0,001924916;
173;428;177;-0,002127539;
174;419;176;-0,00235549;
175;409;177;-0,002608768;
176;402;176;-0,002786063;
177;395;177;-0,002963358;
178;391;177;-0,003064669;
179;392;178;-0,003039341;
180;398;177;-0,002887374;
181;403;178;-0,002760735;
182;410;177;-0,00258344;
183;417;178;-0,002406145;
184;424;177;-0,00222885;
185;430;178;-0,002076883;
186;435;178;-0,001950244;
187;438;178;-0,00187426;
188;440;178;-0,001823605;
189;440;177;-0,001823605;
190;438;178;-0,00187426;
191;432;177;-0,002026228;
192;426;177;-0,002178195;
193;422;176;-0,002279506;
194;416;177;-0,002431473;
195;411;176;-0,002558112;
196;407;177;-0,002659424;
197;405;177;-0,002710079;
198;404;177;-0,002735407;
199;408;177;-0,002634096;
200;416;178;-0,002431473;
201;423;178;-0,002254178;
202;431;178;-0,002051556;
203;437;179;-0,001899588;
204;443;178;-0,001747621;
205;449;179;-0,001595654;
206;454;178;-0,001469015;
207;456;178;-0,001418359;
208;457;177;-0,001393031;
209;455;178;-0,001443687;
210;451;177;-0,001544998;
211;444;178;-0,001722293;
212;437;177;-0,001899588;
213;430;177;-0,002076883;
214;421;176;-0,002304834;
215;415;177;-0,002456801;
216;409;176;-0,002608768;
217;406;177;-0,002684752;
218;406;177;-0,002684752;
219;408;178;-0,002634096;
220;413;177;-0,002507457;
221;419;178;-0,00235549;
222;426;178;-0,002178195;
223;434;178;-0,001975572;
224;443;178;-0,001747621;
225;451;178;-0,001544998;
226;457;178;-0,001393031;
227;463;177;-0,001241064;
228;466;179;-0,001165081;
229;467;177;-0,001139753;
230;467;178;-0,001139753;
231;466;177;-0,001165081;
232;462;178;-0,001266392;
233;457;177;-0,001393031;
234;451;177;-0,001544998;
235;445;177;-0,001696966;
236;442;176;-0,001772949;
237;441;177;-0,001798277;
238;442;177;-0,001772949;
239;446;178;-0,001671638;
240;452;178;-0,001519671;
241;459;177;-0,001342376;
242;466;178;-0,001165081;
243;475;177;-0,0009371302;
244;483;178;-0,0007345075;
245;492;177;-0,0005065569;
246;499;178;-0,000329262;
247;504;177;-0,0002026228;
248;507;178;-0,0001266392;
249;509;177;-7,598354E-05;
250;508;178;-0,0001013114;
251;505;176;-0,0001772949;
252;500;178;-0,0003039342;
253;494;176;-0,0004559012;
254;487;177;-0,0006331961;
255;482;176;-0,0007598354;
256;477;177;-0,0008864746;
257;474;176;-0,0009624581;
258;474;178;-0,0009624581;
259;477;177;-0,0008864746;
260;483;178;-0,0007345075;
261;489;177;-0,0005825404;
262;496;178;-0,0004052455;
263;505;177;-0,0001772949;
264;513;179;2,532784E-05;
265;521;177;0,0002279506;
266;528;178;0,0004052455;
267;533;177;0,0005318847;
268;536;178;0,0006078683;
269;538;177;0,000658524;
270;538;178;0,000658524;
271;535;177;0,0005825404;
272;531;178;0,000481229;
273;526;177;0,0003545898;
274;519;177;0,0001772949;
275;514;177;5,065569E-05;
276;511;177;-2,532784E-05;
277;509;177;-7,598354E-05;
278;510;177;-5,065569E-05;
279;512;178;0;
280;517;177;0,0001266392;
281;524;178;0,0003039342;
282;531;177;0,000481229;
283;539;178;0,0006838518;
284;547;177;0,0008864746;
285;554;179;0,001063769;
286;561;177;0,001241064;
287;566;179;0,001367704;
288;568;177;0,001418359;
289;570;178;0,001469015;
290;569;177;0,001443687;
