time;event;
245,2449;EnemiesSpeed: 3,420265;
250,2554;EnemiesSpeed: 3,49685;
255,1846;Wave: 0; SpawnedEnemies: 2; SpawnPoints: 1; DamageReceived: 0;
255,2677;EnemiesSpeed: 2,005513;
260,28;EnemiesSpeed: 3,27735;
265,2901;EnemiesSpeed: 2,120335;
270,2912;EnemiesSpeed: 2,568516;
275,302;EnemiesSpeed: 2,87134;
280,3157;EnemiesSpeed: 2,675079;
283,5712;Wave: 1; SpawnedEnemies: 4; SpawnPoints: 2; DamageReceived: 0;
285,3261;EnemiesSpeed: 3,05182;
290,3384;EnemiesSpeed: 2,555856;
295,3502;EnemiesSpeed: 3,552943;
300,3624;EnemiesSpeed: 2,786263;
305,3754;EnemiesSpeed: 2,191595;
307,2656;Wave: 2; SpawnedEnemies: 6; SpawnPoints: 2; DamageReceived: 0;
310,3871;EnemiesSpeed: 3,058151;
315,3977;EnemiesSpeed: 3,13313;
320,4094;EnemiesSpeed: 3,469409;
325,4227;EnemiesSpeed: 2,77087;
330,4344;EnemiesSpeed: 1,921386;
335,4453;EnemiesSpeed: 3,378541;
340,4576;EnemiesSpeed: 3,123231;
344,6202;Wave: 3; SpawnedEnemies: 10; SpawnPoints: 3; DamageReceived: 2;
345,4708;EnemiesSpeed: 3,112328;
350,4822;EnemiesSpeed: 2,925346;
355,4933;EnemiesSpeed: 1,871174;
360,5064;EnemiesSpeed: 3,176394;
365,5175;EnemiesSpeed: 3,274888;
370,5305;EnemiesSpeed: 3,032687;
375,5375;EnemiesSpeed: 2,18641;
379,2643;Wave: 4; SpawnedEnemies: 19; SpawnPoints: 3; DamageReceived: 10;
380,5505;EnemiesSpeed: 1,991498;
385,5513;EnemiesSpeed: 2,862931;
390,5636;EnemiesSpeed: 2,514376;
395,5752;EnemiesSpeed: 3,243139;
400,5866;EnemiesSpeed: 2,855945;
402,9247;Wave: 5; SpawnedEnemies: 10; SpawnPoints: 3; DamageReceived: 0;
405,5993;EnemiesSpeed: 3,002754;
410,6109;EnemiesSpeed: 2,946317;
415,6242;EnemiesSpeed: 3,315244;
420,6349;EnemiesSpeed: 3,10827;
425,648;EnemiesSpeed: 3,407164;
430,6525;EnemiesSpeed: 3,04173;
432,2246;Wave: 6; SpawnedEnemies: 9; SpawnPoints: 4; DamageReceived: 2;
435,656;EnemiesSpeed: 3,227171;
440,6563;EnemiesSpeed: 2,626137;
445,6658;EnemiesSpeed: 2,881683;
450,6663;EnemiesSpeed: 3,446439;
455,6758;EnemiesSpeed: 3,194903;
457,3062;Wave: 7; SpawnedEnemies: 11; SpawnPoints: 3; DamageReceived: 0;
460,6889;EnemiesSpeed: 2,949045;
465,7015;EnemiesSpeed: 3,06206;
470,713;EnemiesSpeed: 3,296276;
475,7261;EnemiesSpeed: 3,280419;
480,7346;EnemiesSpeed: 3,304256;
485,7433;EnemiesSpeed: 2,989981;
490,7556;EnemiesSpeed: 3,152298;
493,6802;Wave: 8; SpawnedEnemies: 18; SpawnPoints: 4; DamageReceived: 7;
495,7583;EnemiesSpeed: 2,907424;
500,7711;EnemiesSpeed: 2,9407;
505,7829;EnemiesSpeed: 3,232521;
510,7834;EnemiesSpeed: 3,254154;
515,7927;EnemiesSpeed: 3,205528;
520,8039;EnemiesSpeed: 2,821041;
525,8084;EnemiesSpeed: 2,732738;
530,8148;EnemiesSpeed: 2,866931;
533,8491;Wave: 9; SpawnedEnemies: 17; SpawnPoints: 5; DamageReceived: 3;
535,8262;EnemiesSpeed: 2,315119;
