time;ecg;eda;ecg_p;
0;543;586;0,0007851632;
1;540;585;0,0007091797;
2;538;584;0,000658524;
3;537;584;0,0006331961;
4;537;583;0,0006331961;
5;537;584;0,0006331961;
6;537;584;0,0006331961;
7;539;585;0,0006838518;
8;541;586;0,0007345075;
9;544;587;0,000810491;
10;547;588;0,0008864746;
11;550;588;0,0009624581;
12;553;589;0,001038442;
13;558;589;0,001165081;
14;560;589;0,001215737;
15;562;589;0,001266392;
16;564;589;0,001317048;
17;564;588;0,001317048;
18;564;588;0,001317048;
19;562;587;0,001266392;
20;560;586;0,001215737;
21;558;585;0,001165081;
22;558;584;0,001165081;
23;559;584;0,001190409;
24;559;584;0,001190409;
25;560;584;0,001215737;
26;562;584;0,001266392;
27;566;585;0,001367704;
28;567;586;0,001393031;
29;569;587;0,001443687;
30;570;588;0,001469015;
31;569;588;0,001443687;
32;568;588;0,001418359;
33;565;589;0,001342376;
34;561;589;0,001241064;
35;558;589;0,001165081;
36;554;588;0,001063769;
37;551;588;0,000987786;
38;548;588;0,0009118024;
39;543;587;0,0007851632;
40;537;586;0,0006331961;
41;531;585;0,000481229;
42;526;584;0,0003545898;
43;520;584;0,0002026228;
44;515;583;7,598354E-05;
45;511;584;-2,532784E-05;
46;509;584;-7,598354E-05;
47;508;585;-0,0001013114;
48;507;586;-0,0001266392;
49;508;587;-0,0001013114;
50;507;588;-0,0001266392;
51;506;588;-0,0001519671;
52;503;589;-0,0002279506;
53;497;589;-0,0003799177;
54;493;589;-0,000481229;
55;489;589;-0,0005825404;
56;485;588;-0,0006838518;
57;481;588;-0,0007851632;
58;477;588;-0,0008864746;
59;475;587;-0,0009371302;
60;474;586;-0,0009624581;
61;474;585;-0,0009624581;
62;472;584;-0,001013114;
63;472;584;-0,001013114;
64;473;583;-0,000987786;
65;475;583;-0,0009371302;
66;477;584;-0,0008864746;
67;480;585;-0,000810491;
68;483;586;-0,0007345075;
69;485;587;-0,0006838518;
70;486;588;-0,000658524;
71;485;588;-0,0006838518;
72;484;589;-0,0007091797;
73;483;589;-0,0007345075;
74;480;589;-0,000810491;
75;478;589;-0,0008611467;
76;477;588;-0,0008864746;
77;476;588;-0,0009118024;
78;475;588;-0,0009371302;
79;473;587;-0,000987786;
80;472;586;-0,001013114;
81;472;585;-0,001013114;
82;472;584;-0,001013114;
83;471;584;-0,001038442;
84;472;583;-0,001013114;
85;475;584;-0,0009371302;
86;477;584;-0,0008864746;
87;480;585;-0,000810491;
88;482;586;-0,0007598354;
89;481;587;-0,0007851632;
90;481;587;-0,0007851632;
91;482;588;-0,0007598354;
92;483;589;-0,0007345075;
93;483;589;-0,0007345075;
94;483;589;-0,0007345075;
95;483;589;-0,0007345075;
96;482;588;-0,0007598354;
97;482;588;-0,0007598354;
98;480;588;-0,000810491;
99;479;587;-0,0008358189;
100;479;586;-0,0008358189;
101;477;585;-0,0008864746;
102;476;584;-0,0009118024;
103;476;584;-0,0009118024;
104;478;583;-0,0008611467;
105;479;583;-0,0008358189;
106;480;584;-0,000810491;
107;482;585;-0,0007598354;
108;483;586;-0,0007345075;
109;485;587;-0,0006838518;
110;487;587;-0,0006331961;
111;487;588;-0,0006331961;
112;489;588;-0,0005825404;
113;492;588;-0,0005065569;
114;494;588;-0,0004559012;
115;494;589;-0,0004559012;
116;493;588;-0,000481229;
117;492;588;-0,0005065569;
118;493;588;-0,000481229;
119;493;587;-0,000481229;
120;492;586;-0,0005065569;
121;491;585;-0,0005318847;
122;491;584;-0,0005318847;
123;489;583;-0,0005825404;
124;490;583;-0,0005572126;
125;490;583;-0,0005572126;
126;491;584;-0,0005318847;
127;492;585;-0,0005065569;
128;495;586;-0,0004305734;
129;499;587;-0,000329262;
130;503;587;-0,0002279506;
131;504;588;-0,0002026228;
132;504;588;-0,0002026228;
133;504;588;-0,0002026228;
134;503;588;-0,0002279506;
135;502;589;-0,0002532784;
136;503;588;-0,0002279506;
137;501;588;-0,0002786063;
138;499;587;-0,000329262;
139;499;587;-0,000329262;
140;498;586;-0,0003545898;
141;497;585;-0,0003799177;
142;497;584;-0,0003799177;
143;496;583;-0,0004052455;
144;497;583;-0,0003799177;
145;498;583;-0,0003545898;
146;499;584;-0,000329262;
147;499;585;-0,000329262;
148;499;586;-0,000329262;
149;499;587;-0,000329262;
150;499;588;-0,000329262;
151;499;588;-0,000329262;
152;501;588;-0,0002786063;
153;503;589;-0,0002279506;
154;503;589;-0,0002279506;
155;502;589;-0,0002532784;
156;501;588;-0,0002786063;
157;499;588;-0,000329262;
158;497;588;-0,0003799177;
159;495;587;-0,0004305734;
160;495;586;-0,0004305734;
161;493;585;-0,000481229;
162;490;583;-0,0005572126;
163;486;583;-0,000658524;
164;480;583;-0,000810491;
165;477;583;-0,0008864746;
166;475;584;-0,0009371302;
167;473;585;-0,000987786;
168;472;585;-0,001013114;
169;472;586;-0,001013114;
170;472;587;-0,001013114;
171;474;588;-0,0009624581;
172;478;588;-0,0008611467;
173;481;588;-0,0007851632;
174;482;589;-0,0007598354;
175;483;589;-0,0007345075;
176;483;588;-0,0007345075;
177;483;588;-0,0007345075;
178;486;587;-0,000658524;
179;492;587;-0,0005065569;
180;500;585;-0,0003039342;
181;507;585;-0,0001266392;
182;515;584;7,598354E-05;
183;526;583;0,0003545898;
184;540;583;0,0007091797;
185;560;583;0,001215737;
186;585;584;0,001848933;
187;616;585;0,002634096;
188;650;585;0,003495243;
189;682;587;0,004305734;
190;715;587;0,005141553;
191;750;588;0,006028027;
192;785;588;0,006914502;
193;821;589;0,007826304;
194;855;588;0,008687451;
195;888;589;0,00952327;
196;916;588;0,01023245;
197;937;588;0,01076433;
198;953;588;0,01116958;
199;965;586;0,01147351;
200;970;586;0,01160015;
201;972;585;0,01165081;
202;972;584;0,01165081;
203;967;584;0,01152417;
